# Simple Perfect	Compound Perfect	Contingent	Compound Imperfect	Jussive	Imperative	Gerund	Infinitive	Participle	Translation	Verb Type
ተናደ፟ፈ	ተናድፏል	ይና፟ደ፟ፍ	ይና፟ደ፟ፋል	ይና፟ደፍ		ተናድፎ	መና፟ደፍ	ተናዳፊ	sting	i
ተናገ፟ረ	ተናግሯል	ይና፟ገ፟ር	ይና፟ገ፟ራል	ይና፟ገር	ተናገር	ተናግሮ	መና፟ገር	ተናጋሪ	speak	i
ተነጋገ፟ረ	ተነጋግሯል	ይነ፟ጋገ፟ር	ይነ፟ጋገ፟ራል	ይነ፟ጋገር	ተነጋገር	ተነጋግሮ	መነ፟ጋገር	ተነጋጋሪ	converse	i
ተንጠለጠ፟ለ	ተንጠልጥሏል	ይንጠለጠ፟ል	ይንጠለጠ፟ላል	ይንጠልጠል	ተንጠልጠል	ተንጠልጥሎ	መንጠልጠል	ተንጠልጣይ	be hung 	p
ተነጨ፟ 2nd ተነጨ፟ህ	ተነጭቷል	ይነ፟ጭ፟	ይነ፟ጫ፟ል	ይነ፟ጭ		ተነጭቶ	መነ፟ጨት	ተነጭ	be plucked out	p
ተነፋ፟	ተነፍቷል	ይነ፟ፋ፟	ይነ፟ፋ፟ል	ይነ፟ፋ፟	ተነፋ	ተነፍቶ	መነ፟ፋት	ተነፊ	be inflated	p
ተነፈ፟ሰ	ተንፍሷል	ይተነፍ፟ስ	ይተነፍ፟ሳል	ይተንፍስ	ተንፍስ	ተንፍሶ	መተንፈስ	ተንፋ፟ሽ	breathe	i
ተናፈ፟ሰ	ተናፍሷል	ይና፟ፈ፟ስ	ይና፟ፈ፟ሳል	ይና፟ፈስ	ተናፈስ	ተናፍሶ	መና፟ፈስ	ተናፋሽ	get fresh air	i
ተኛ፟	ተኝ፟ቷል	ይተኛ፟	ይተኛ፟ል	ይተኛ፟	ተኛ፟	ተኝ፟ቶ	መተኛ፟ት		recline	i
ተከ፟ለ	ተክሏል	ይተክል	ይተክላል	ይትከል	ትከል	ተክሎ	መትከል	ተካይ	plant	t
ተከለከ፟ለ	ተከልክሏል	ይከለከ፟ል	ይከ፟ለከ፟ላል	ይከ፟ልከል	ተከልከል	ተከልክሎ	መከ፟ልከል	ተከልካይ	be hindered	p
ተከመ፟ረ	ተከም፟ሯል	ይከ፟መ፟ር	ይከ፟መ፟ራል	ይከ፟መር	ተከመር	ተከም፟ሮ	መከ፟መር	ተከማ፟ሪ	be piled	p
ተከራከ፟ረ	ተከራክሯል	ይከ፟ራከ፟ር	ይከ፟ራከ፟ራል	የከ፟ራከር	ተከራከር	ተከራክሮ	መከ፟ራከር	ተከራካሪ	dispute	i
ተከራየ፟ 2nd-ራየ፟ህ	ተከራይቷል	ይከ፟ራይ፟	ይከ፟ራያ፟ል	ይከ፟ራይ	ተከራይ	ተከራይቶ	መከ፟ራየት		take on hire	t
ተኰ፟ሰ	ተኵ፟ሷል	ይተኵ፟ስ	ይተኵ፟ሳል	ይተኵ፟ስ	ተኵ፟ስ	ተኵ፟ሶ	መተኰ፟ስ	ተኳ፟ሽ	scorch	t
ተከሰ፟ሰ	ተከሷ፟ል	ይከ፟ሰ፟ስ	ይከ፟ሰ፟ሳል	ይከ፟ሰስ	ተከሰስ	ተከሶ፟	መከ፟ሰስ	ተከሳሽ	be accused	p
ተከበ፟ረ	ተከብሯል	ይከ፟በ፟ር	ይከ፟በ፟ራል	ይከ፟በር		ተከብሮ	መከ፟በር	ተከባሪ	be honoured	p
ተከተ፟ለ	ተከት፟ሏል	ይከ፟ተ፟ል	ይከ፟ተ፟ላል	ይከ፟ተል	ተከተ፟ል	ተከት፟ሎ	መከተ፟ል	ተከታ፟ይ	follow	t
ታከ፟ከ	ታኳ፟ል	ይታ፟ከ፟ክ	ይታ፟ከ፟ካል	ይታ፟ከክ		ታኮ፟	መታ፟ከክ	ታካኪ	be scratched	p
ተካከ፟ለ	ተካክሏል	ይተ፟ካከ፟ል	ይተ፟ካከ፟ላል	ይተ፟ካከል	ተካከል	ተካክሎ	መተ፟ካከል	ተካካይ	be equal	i
ተከፈ፟ለ	ተከፍ፟ሏል	ይከ፟ፈ፟ል	ይከ፟ፈ፟ላል	ይከ፟ፈል	ተከፈል	ተከፍሎ	መከ፟ፈል	ተከፋይ	be divided	p
ተካፈ፟ለ	ተካፍሏል	ይካ፟ፈ፟ል	ይካ፟ፈ፟ላል	ይካ፟ፈል	ተካፈል	ተካፍሎ	መካ፟ፈል	ተካፋይ	share	t
ተከፈ፟ተ	ተከፍቷል	ይ፟ከፈ፟ት	ይከ፟ፈ፟ታል	ይከ፟ፈት		ተከፍቶ	መከ፟ፈት	ተከፋ፟ች	be opened	p
ተወ	ትቷል	ይተው	ይተዋል	ይተው	ተው ፤ ተይ	ትቶ	መተው	ተዪ	leave	t
ተወለወለ	ተወልውሏል	ይወ፟ለወል	ይወ፟ለወላል	ይወ፟ልወል		ተወልውሎ	መወ፟ልወል		be wiped	p
ተወለ፟ደ	ተወልዷል	ይወ፟ለ፟ድ	ይወ፟ለ፟ዳል			ተወልዶ	መወ፟ለድ	ተወላጅ	be born	i
ተወራረደ	ተወራርዷል	ይወ፟ራረድ	ይወ፟ራረዳል	ይወ፟ራረድ	ተወራረድ	ተወራርዶ	መወ፟ራረድ	ተወራራጅ	bet	i
ተወረወረ	ተወርውሯል	ይወ፟ረወር	ይወ፟ረወራል	ይወ፟ርወር		ተወርውሮ	መወ፟ርወር	ተወርዋሪ	be thrown	p
ተዋሰ	ተውሷል	ይዋ፟ስ	ይዋ፟ሳል	ይዋ፟ስ	ተዋስ	ተውሶ	መዋ፟ስ	ተዋሽ	be guarantor	i
ተወሰ፟ደ	ተወስዷል	ይወ፟ሰ፟ድ	ይወ፟ሰ፟ዳል	ይወ፟ሰድ		ተወስዶ	መወ፟ሰድ	ተወሳጅ	be removed	p
ታወቀ	ታውቋል	ይታ፟ወቅ	ይታ፟ወቃል	ይታ፟ወቅ		ታውቆ	መታ፟ወቅ	ታዋቂ	be known	p
ተወቀ፟ጠ	ተወቅጧል	ይወ፟ቀ፟ጥ	ይወ፟ቀ፟ጣል	ይወ፟ቀጥ		ተወቅጦ	መወ፟ቀጥ	ተወቃጭ	be crushed	p
ተወዘወዘ	ተወዝውዟል	ይወ፟ዘወዝ	ይወ፟ዘወዛል	ይወ፟ዝወዝ	ተወዝወዝ	ተወዝውዞ	መወ፟ዝወዝ	ተወዝዋዢ	be shaken	p
ተወደ፟ደ	ተወዷ፟ል	ይወ፟ደ፟ድ	ይወ፟ደ፟ዳል	ተወ፟ደድ	ተወደድ	ተወዶ፟	መወ፟ደድ	ተወዳ፟ጅ	be loved	p
ተዋደ፟ዱ	ተዋደ፟ዋል	ይዋ፟ደ፟ዱ	ይዋ፟ደ፟ዳሉ	ይዋ፟ደዱ	ተዋደዱ	ተዋደ፟ው	መዋ፟ደድ	ተዋዳጆች	agree	i
ተወጋ፟	ተወግቷል	ይወ፟ጋ፟	ይወ፟ጋል	ይወጋ		ተወግቶ	መወ፟ጋት	ተወጊ	be pricked	p
ተዋጋ፟	ተዋግቷል	ይዋ፟ጋ፟	ይዋ፟ጋ፟ል	ይዋ፟ጋ	ተዋጋ	ተዋግቶ	መዋ፟ጋት	ተዋጊ	fight; butt	i
ተዘራ፟	ተዘርቷል	ይዘ፟ራ፟	ይዘ፟ራ፟ል	ይዘ፟ራ		ተዘርቶ	መዘ፟ራት		be sown	p
ተዘረ፟ፈ	ተዘርፏል	ይዘ፟ረ፟ፍ	ይዘ፟ረ፟ፋል	ይዘ፟ረፍ		ተዘርፎ	መዘ፟ረፍ	ተዘራፊ	be looted	p
ተዘቀዘ፟ቀ	ተዘቅዝቋል	ይዘ፟ቀዘቅ	ይዘ፟ቀዘ፟ቃል	ይዘ፟ቅዘቅ	ተዘቅዘቅ	ተዘቅዝቆ	መዘ፟ቅዘቅ	ተዘቅዛቂ	be inclined	p
ተዘወረ	ተዘውሯል	ይዘ፟ወር	ይዘ፟ወራል	ይዘ፟ወር		ተዘውሮ	መዘ፟ወር	ተዘዋሪ	be turned	p
ታዘ፟ዘ	ታዟ፟ል	ይታ፟ዘ፟ዝ	ይታ፟ዘ፟ዛል	ይታ፟ዘዝ	ታዘዝ	ታዞ፟	መታ፟ዘዝ	ታዛዢ	obey	t
ተዘጋ፟	ተዘግቷል	ይ፟ዘጋ፟	ይዘ፟ጋ፟ል	ይዘ፟ጋ		ተዘግቶ	መዘ፟ጋት	ተዘጊ	be shut	p
ታየ፟ 2nd ታየ፟ህ	ታይቷል	ይታ፟ይ፟	ይታ፟ያ፟ል	ይታ፟ይ	ታይ	ታይቶ	መታ፟የት		be seen	p
ተያዘ	ተይዟል	ይያ፟ዝ	ይያ፟ዛል	ይያ፟ዝ	ተያዝ	ተይዞ	መያ፟ዝ	ተያዢ	be seized	p
ተዳመ፟ጠ	ተዳምጧል	ይዳ፟መ፟ጥ	ይዳ፟መ፟ጣል	ይዳ፟መጥ		ተዳምጦ	መዳ፟መጥ	ተዳማጭ	be ginned	p
ተደረ፟ገ	ተደርጓል	ይደ፟ረ፟ግ	ይደ፟ረ፟ጋል	ይደ፟ረግ		ተደርጎ	መደ፟ረግ	ተደራጊ	be done	p
ተደበለ፟ቀ	ተደብልቋል	ይደ፟በለቅ	ይደ፟በለ፟ቃል	ይደ፟ብለቅ	ተደብለቅ	ተደብልቆ	መደ፟ብለቅ	ተደብላቂ	be mixed	p
ተደገ፟ፈ	ተደግ፟ፏል	ይ፟ደገ፟ፍ	ይደ፟ገ፟ፋል	ይደ፟ገፍ	ተደገፍ	ተደግ፟ፎ	መደ፟ገፍ	ተደጋ፟ፊ	lean	i
ተጀመ፟ለ	ተጀም፟ሏል	ይጀ፟መ፟ል	ይጀ፟መ፟ላል	ይጀ፟መል		ተጀም፟ሎ	መጀ፟መል		be added	p
ተጀመ፟ረ	ተጀም፟ሯል	ይጀ፟መ፟ር	ይጀ፟መ፟ራል	ይጀ፟መር		ተጀም፟ሮ	መጀ፟መር	ተጀማ፟ሪ	be begun	p
ተጋ፟	ተግቷል	ይተጋ	ይተጋል	ይትጋ	ትጋ	ተግቶ	መትጋት	ተጊ	persevere	p
ታገ፟ለ	ታግሏል	ይታ፟ገ፟ል	ይታ፟ገ፟ላል	ይታ፟ገል	ታገል	ታግሎ	መታ፟ገል	ታጋይ	struggle	i
ተገለባበጠ	ተገለባብጧል	ይገ፟ለባበጥ	ይገ፟ለባበጣል	ይገ፟ለባበጥ	ተገ፟ለባበጥ	ተገ፟ለባብጦ	መገለባበጥ	ተገለባባጭ	be completely inverted	p
ተገለበ፟ጠ	ተገልብጧል	ይገ፟ለበ፟ጥ	ይገ፟ለበ፟ጣል	ይገ፟ልበጥ		ተገልብጦ	መገ፟ልበጥ	ተገልባጭ	be inverted	p
ተገራ፟	ተገርቷል	ይገ፟ራ፟	ይገ፟ራ፟ል	ይገ፟ራ		ተገርቶ	መገ፟ራት	ተገሪ	be tamed	p
ተገረ፟መ	ተገርሟል	ይገ፟ረ፟ም	ይገ፟ረ፟ማል	ይገ፟ረም		ተገርሞ	መገ፟ረም	ተገራ፟ሚ	be surprised	i
ተገረ፟ፈ	ተገርፏል	ይገ፟ረ፟ፍ	ይገ፟ረ፟ፋል	ይገ፟ረፍ	ተገረፍ	ተገርፎ	መገ፟ረፍ	ተገራፊ	be beaten	p
ታገ፟ሠ	ታግ፟ሷል	ይታ፟ገ፟ሥ	ይታ፟ገ፟ሣል	ይታ፟ገሥ	ታገሥ	ታግ፟ሦ	መታ፟ገሥ	ታጋ፟ሽ	be patient	i
ተገባ፟	ተገብቷል	ይገ፟ባ፟	ይገ፟ባ፟ል			ተገብቶ	መገ፟ባት		be proper	i
ተጋባ፟	ተጋብቷል	ይጋ፟ባ፟	ይጋ፟ባ፟ል	ይጋ፟ባ	ተጋባ	ተጋብቶ	መጋ፟ባት	ተጋቢ	be married	p
ተጐነበሰ	ተጐንብሷል	ይጐ፟ነበስ	ይጐ፟ነበሳል	ይጐ፟ንበስ	ተጐንበስ	ተጐንብሶ	መጐ፟ንበስ	ተጐንባሽ	be bent	p
ተገናኘ፟ 2nd ኘ፟ህ	ተገናኝቷል	ይገ፟ናኝ፟	ይገ፟ናኛል	ይገ፟ናኝ	ተገናኝ	ተገናኝቶ	መገና፟ኘት	ተገናኝ	meet	t
ተገኘ፟ 2nd ኘ፟ህ	ተገኝቷል	ይገ፟ኝ፟	ይገ፟ኛ፟ል	ይገ፟ኝ	ተገኝ	ተገኝቶ	መገ፟ኘ፟ት መገ፟ኝ፟		be found	p
ተገዛ፟	ተገዝቷል	ይገ፟ዛ፟	ይገ፟ዛ፟ል	ይገ፟ዛ	ተገዛ	ተገዝቶ	መገ፟ዛት	ተገዢ	be bought	p
ተጓዘ	ተጕዟል	ይጓ፟ዝ	ይጓ፟ዛል	ይጓ፟ዝ	ተጓዝ	ተጕዞ	መጓ፟ዝ	ተጓዢ	set out	i
ተጐዳ፟	ተጐድቷል	ይጐ፟ዳ፟	ይጐ፟ዳ፟ል	ይጐ፟ዳ		ተጐድቶ	መጐ፟ዳት	ተጐጅ-ጂ	be injured	p
ተጋደ፟ለ	ተጋድሏል	ይጋ፟ደ፟ል	ይጋ፟ደ፟ላል	ይጋ፟ደል	ተጋደል	ተጋድሎ	መጋ፟ደል	ተጋዳይ	fight 	i
ተገደ፟ፈ	ተገድ፟ፏል	ይገ፟ደ፟ፍ	ይገ፟ደ፟ፋል	ይገ፟ደፍ	ተገድፍ	ተገድ፟ፎ	መገ፟ደፍ	ተገዳ፟ፊ	lean	i
ተጋጨ፟ 2nd ጨ፟ህ	ተጋጭቷል	ይጋ፟ጭ፟	ይጋ፟ጫ፟ል	ይጋ፟ጭ	ተጋጭ	ተጋጭቶ	መጋ፟ጨት	ተጋጭ	be knocked	p
ተገፋ፟	ተገፍቷል	ይገ፟ፋ፟	ይገ፟ፋ፟ል	ይገ፟ፋ	ተገፋ	ተገፍቶ	መገ፟ፋት	ተገፊ	be pushed	p
ታጣ፟	ታጥ፟ቷል	ይታ፟ጣ፟	ይታ፟ጣ፟ል			ታጥቶ፟	መታ፟ጣት		be lacking	i
ተጣለ	ተጥሏል	ይጣ፟ል	ይጣ፟ላል	ይጣ፟ል		ተጥሎ	መጣ፟ል	ተጣይ	be thrown	p
ተጣላ፟	ተጣልቷል	ይጣ፟ላ፟	ይጣ፟ላ፟ል	ይጣ፟ላ	ተጣላ	ተጣልቶ	መጣ፟ላት	ተጣይ	quarrel	i
ተጠመ፟ቀ	ተጠምቋል	ይጠ፟መ፟ቅ	ይጠ፟መ፟ቃል	ይጠ፟መቅ	ተጠመቅ	ተጠምቆ	መጠ፟መቅ	ተጠማ፟ቂ	be wrung; be baptized	p
ተጠመዘ፟ዘ	ተጠምዝዟል	ይጠ፟መዘ፟ዝ	ይጠ፟መዘ፟ዛል	ይጠ፟ምዘዝ		ተጠምዝዞ	መጠ፟ምዘዝ	ተጠምዛዢ	be twisted 	p
ተጠመ፟ደ	ተጠምዷል	ይጠ፟መ፟ድ	ይጠ፟መ፟ዳል	ይጠ፟መድ		ተጠምዶ	መጠ፟መድ	ተጠማጅ	be yoked	p
ተጠመጠ፟መ	ተጠምጥሟል	ይጠ፟መጠም	ይጠ፟መጠ፟ማል	ይጠ፟ምጠም	ተጠምጠም	ተጠምጥሞ	መጠ፟ምጠም	ተጠምጣሚ	be wound	p
ተጠራ፟	ተጠርቷል	ይጠ፟ራ፟	ይጠ፟ራ፟ል	ይጠ፟ራ		ተጠርቶ	መጠ፟ራት	ተጠሪ	be called	p
ተጣራ፟	ተጣርቷል	ይጣ፟ራ፟	ይጣ፟ራ፟ል	ይጣ፟ራ		ተጣርቶ	መጠ፟ራት	ተጠሪ	summon	t
ተጠረ፟ገ	ተጠርጓል	ይጠ፟ረ፟ግ	ይጠ፟ረ፟ጋል	ይጠ፟ረግ		ተጠርጎ	መጠ፟ረግ		be cleaned	p
ተጠረጠ፟ረ	ተጠርጥሯል	ይጠ፟ረጠ፟ር	ይጠ፟ረጠ፟ራል	ይጠ፟ርጠር		ተጠርጥሮ	መጠ፟ርጠር	ተጠርጣሪ	be doubted	p
ተጠቀለ፟ለ	ተጠቅልሏል ፤ ተጠቅሏል	ይጠ፟ቀለ፟ል	ይጠ፟ቀለላ፟ል	ይጠ፟ቅለል	ተጠቅለል	ተጠቅልሎ 	መጠ፟ቅለል	ተጠቅላይ	be rolled up	p
	ተጠቅሏ፟ል					ተጠቅሎ፟				
ተጠቃቀሙ	ተጠቃቅመዋል	ይጠ፟ቃቀሙ	ይጠ፟ቃቀ፟ማሉ	ይጠ፟ቃቀሙ	ተጠቃቀሙ	ተጠቃቅመው	መጠ፟ቃቀም	ተጠቃቃሞች	agree together	i
ታጠ፟በ	ታጥቧል	ይታ፟ጠ፟ብ	ይታ፟ጠ፟ባል	ይታ፟ጠብ	ታጠብ	ታጥቦ	መታ፟ጠብ	ታጣቢ	be washed	p
ተጠበ፟ሰ	ተጠብሷል	ይጠ፟በ፟ስ	ይጠ፟በ፟ሳል	ይጠ፟በስ		ተጠብሶ	መጠ፟በስ	ተጠባሽ	be toasted	p
ተጠበ፟ቀ	ተጠብ፟ቋል	ይጠ፟በ፟ቅ	ይጠ፟በ፟ቃል	ይጠ፟በቅ	ተጠበቅ	ተጠ፟ብቆ	መጠ፟በቅ	ተጠባቂ	be guarded	p
ተጣበ፟ቀ	ተጣብቋል	ይጣ፟በ፟ቅ	ይጣ፟በ፟ቃል	ይጣ፟በቅ		ተጣብቆ	መጣ፟በቅ	ተጣባቂ	be squeezed	p
ተጠበ፟በ	ተጠ፟ቧል	ይጠ፟በ፟ብ	ይጠ፟በ፟ባል	ይጠ፟በብ	ተጠበብ	ተጠቦ፟	መጠ፟በብ	ተጠባ፟ቢ	be wise; be in difficulty	i
ታጠ፟ነ	ታጥኗል	ይታ፟ጠ፟ን	ይታ፟ጠ፟ናል	ይታ፟ጠን	ታጠን	ታጥኖ	መታ፟ጠን	ታጣኝ	be perfumed	p
ተጠነቀቀ	ተጠንቅቋል	ይጠ፟ንቀቅ	ይጠ፟ነቀ፟ቃል	ይጠ፟ንቀቅ	ተጠንቀቅ	ተጠንቅቆ	መጠ፟ንቀቅ	ተጠንቃቂ	beware	i
ተጠየ፟ቀ	ተጠይ፟ቋል	ይጠ፟የ፟ቅ	ይጠ፟የ፟ቃል	ይጠ፟የቅ		ተጠይ፟ቆ	መጠ፟የቅ	ተጠያ፟ቂ	be asked	p
ተጠጋ፟	ተጠግ፟ቷል	ይጠ፟ጋ፟	ይጠ፟ጋ፟ል	ይጠ፟ጋ	ተጠጋ	ተጠግ፟ቶ	መጠ፟ጋት	ተጠጊ፟	lean	i
ተጠጣ፟	ተጠጥ፟ቷል	ይጠ፟ጣ፟	ይጠ፟ጣ፟ል	ይጠ፟ጣ		ተጠጥ፟ቶ	መጠ፟ጣት	ተጠጭ፟	be drunk	p
ተጣ፟ፈ	ተጥፏል	ይጣ፟ፍ	ይጣ፟ፋል	ይጣ፟ፍ		ተጥፎ	መጣ፟ፍ	ተጣፊ	be folded	p
ታጠ፟ፈ	ታጥፏል	ይታ፟ጠ፟ፍ	ይታ፟ጠ፟ፋል	ይታ፟ጠፍ		ታጥፎ	መታ፟ጠፍ	ታጣፊ	be folded	p
ተጨመ፟ረ	ተጨም፟ሯል	ይጨ፟መ፟ር	ይጨ፟መ፟ራል	ይጨመር	ተጨ፟መር	ተጨም፟ሮ	መጨ፟መር	ተጨማ፟ሪ	be increased	p
ተጨረ፟ሰ	ተጨር፟ሷል	ይጨ፟ረ፟ስ	ይጨ፟ረ፟ሳል	ይጨ፟ረስ		ተጨር፟ሶ	መጨ፟ረስ	ተጨራ፟ሽ	be finished	p
ተጨቈ፟ነ	ተጨቍ፟ኗል	ይጨ፟ቈ፟ን	ይጨ፟ቈ፟ናል	ይጨ፟ቈን		ተጨቍ፟ኖ	መጨ፟ቈን	ተጨቋ፟ኝ	be pressed	p
ተጫነ	ተጭኗል	ይጫ፟ን	ይጫ፟ናል	ይጫ፟ን		ተጭኖ	መጫ፟ን	ተጫኝ	be saddled	p
ተጫወተ	ተጫውቷል	ይጫ፟ወት	ይጫ፟ወታል	ይጫ፟ወት	ተጫወት	ተጫውቶ	መጫ፟ወት	ተጫዋች	play	i
ተፈለ፟ገ	ተፈል፟ጓል	ይፈ፟ለ፟ግ	ይፈ፟ለ፟ጋል	ይፈ፟ለግ		ተፈ፟ልጎ	መፈ፟ለግ	ተፈላ፟ጊ	be sought	p
ተፈረ፟ደ	ተፈርዷል	ይፈ፟ረ፟ድ	ይፈ፟ረ፟ዳል	ይፈ፟ረድ		ተፈርዶ	መፈ፟ረድ	ተፈራጅ	be decided	p
ተፋቀ	ተፍቋል	ይፋ፟ቅ	ይፋ፟ቃል	ይፋ፟ቅ		ተፍቆ	መፋ፟ቅ	ተፋቂ	be scraped	p
ተፈታ፟	ተፈትቷል	ይፈ፟ታ፟	ይፈ፟ታ፟ል	ይፈ፟ታ		ተፈትቶ	መፈ፟ታት	ተፈች	be untied	p
ተፈተ፟ነ	ተፈት፟ኗል	ይፈ፟ተ፟ን	ይፈ፟ተ፟ናል	ይፈ፟ተን	ተፈተን	ተፈት፟ኖ	መፈ፟ተን	ተፈታ፟ኝ	be tested	p
ተፈወሰ	ተፈውሷል	ይፈ፟ወስ	ይፈ፟ወሳል	ይፈ፟ወስ		ተፈውሶ	መፈ፟ወስ	ተፈዋሽ	be cured	p
ተፈገፈ፟ገ	ተፈግፍጓል	ይፈ፟ግፈ፟ግ	ይፈ፟ገፈ፟ጋል	ይፈ፟ግፈግ		ተፈግፍጎ	መፈ፟ግፈግ		be rubbed	p
ተፈጀ፟ 2nd ጀ፟ህ	ተፈጅቷል	ይፈ፟ጅ፟	ይፍ፟ጃ፟ል	ይፈ፟ጅ		ተፈ፟ጅቶ	መፈጀት	ተፈጅ-ጂ	be destroyed	p
ተፈጨ፟	ተፈጭቷል	ይፈ፟ጭ፟	ይፈ፟ጫ፟ል	ይፈ፟ጭ		ተፈጭቶ	መፈ፟ጨት	ተፈጭ	be ground	p
ቻለ	ችሏል	ይችል	ይችላል	ይቻል	ቻል	ችሎ	መቻል	ቻይ	hold	t
ቸኰ፟ለ	ቸኵ፟ሏል	ይቸኵ፟ል	ይቸኵ፟ላል	ይቸኵ፟ል	ቸኵ፟ል	ቸኵ፟ሎ	መቸኰ፟ል	ቸኳ፟ይ	hasten	i
ቸገ፟ረው	ቸግ፟ሮታል	ይቸግ፟ረው	ይቸግ፟ረዋል			ቸግ፟ሮት	መቸገ፟ር	ቸጋ፟ሪ	be at a loss	i
ኖረ	ኑሯል ኖሯል	ይኖር	ይኖራል	ይኑር	ኑር	ኑሮ ኖሮ	መኖር	ኗሪ	stay	i
ነሣ፟	ነሥቷል	ይነሣ	ይነሣል	ይንሣ	ንሣ	ነሥቶ	መንሣት	ነሽ	take  	t
ነሰ፟ረው	ነስሮታል	ይነስረው	ይነስረዋል	ይንሰረው		ነስሮት	መንሰር		bleed at the nose	i
ነቃ፟	ነቅቷል	ይነቃ	ይነቃል	ይንቃ	ንቃ	ነቅቶ	መንቃት	ነቂ	wake, split	i,i
ነቀ፟ለ	ነቅሏል	ይነቅል	ይነቅላል	ይንቀል	ንቀል	ነቅሎ	መንቀል	ነቃይ	uproot	t
ነቀ፟ሰ	ነቅሷል	ይነቅስ	ይነቅሳል	ይንቀስ	ንቀስ	ነቅሶ	መንቀስ	ነቃሽ	comb	t
ነቀነ፟ቀ	ነቅንቋል	ይነቀን፟ቅ	ይነቀን፟ቃል	ይነቅንቅ	ነቅንቅ	ነቅንቆ	መነቅነቅ	ነቅናቂ	shake	t
ነበ፟ረ ፟በር									be	i
ነካ፟	ነክቷል	ይነካ	ይነካል	ይንካ	ንካ ፤ እንካ	ነክቶ	መንካት	ነኪ	touch	t
ነከ፟ረ	ነክሯል	ይነክር	ይነክራል	ይንከር	ንከር	ነክሮ	መንከር	ነካሪ	wet	t
ነከ፟ሰ	ነክሷል	ይነክስ	ይነክሳል	ይንከስ	ንከስ	ነክሶ	መንከስ	ነካሽ	bite	t
ነዳ፟	ነድቷል	ይነዳ	ይነዳል	ይንዳ	ንዳ	ነድቶ	መንዳት	ነጅ -ጂ	drive	t
ነደ፟ደ	ነዷ፟ል	ይነድ፟	ይነዳ፟ል	ይንደድ	ንደድ	ነዶ፟	መንደድ	ነዳጅ	burn	i
ነደ፟ፈ	ነድፏል	ይነድፍ	ይነድፋል	ይንደፍ	ንደፍ	ነድፎ	መንደፍ	ነዳፊ	sting	t
ነጋ፟	ነግቷል	ይነጋ	ይነጋል			ነግቶ	መንጋት		dawn	i
ነገ፟ረ	ነግሯል	ይነግር	ይነግራል	ይንገር	ንገር	ነግሮ	መንገር	ነጋሪ	say	t
ነገ፟ሠ	ነግሷል	ይነግሥ	ይነግሣል	ይንገሥ	ንገሥ	ነግሦ	መንገሥ	ነጋሽ	reign	i
ነገ፟ደ	ነግዷል	ይነግድ	ይነግዳል	ይንገድ ፤ ይነግ፟ድ	ንገድ ፤ ነግ፟ድ	ነግዶ	መንገድ ፤ መነገ፟ድ	ነጋጅ	trade	i
ነጣ፟	ነጥቷል	ይንጣ	ይነጣል	ይንጣ	ንጣ	ነጥቶ	መንጣት	ነጭ፟	be white	i
ነጠ፟ረ	ነጥሯል	ይነጥር	ይነጥራል	ይንጠር		ነጥሮ	መንጠር	ነጣሪ	be clarified	i
ነጠ፟ቀ	ነጥቋል	ይነጥቅ	ይነጥቃል	ይንጠቅ	ንጠቅ	ነጥቆ	መንጠቅ	ነጣቂ	snatch	t
ነጠ፟በ	ነጥቧል	ይነጥብ	ይነጥባል	ይንጠብ		ነጥቦ	መንጠብ	ነጣቢ	drip	i
ነጨ፟ 2nd-ነጨ፟ህ	ነጭቷል	ይነጭ	ይነጫል	ይንጭ	እ ንጭ	ነጭቶ	መንጨት	ነጭ	pluck out	t
ነፋ፟	ነፍቷል	ይነፋ	ይነፋል	ይንፋ	ንፋ	ነፍቶ	መንፋት	ነፊ	inflate	t
ነፈ፟ሰ	ነፍሷል	ይነፍስ	ይነፍሳል	ይንፈስ		ነፍሶ	መንፈስ	ነፋሽ	blow	i
አለ	ብሏል	ይል	ይላል	ይበል	በል	ብሎ	ማለት		say	t
አለ፟ 2nd አለ፟ህ									be	i
አለ፟ላከ	አለ፟ልኳል	ያለ፟ልክ	ያለ፟ልካል	ያለ፟ልክ	አለ፟ልክ	አለ፟ልኮ	ማለ፟ላክ	አለ፟ላኪ	send to and fro	t
አላ፟ላከ	አላ፟ልኳል	ያላ፟ልክ	ያላ፟ልካል	ያላ፟ልክ	አላ፟ልክ	አላ፟ልኮ	ማላ፟ላክ	አላ፟ላኪ	send to and fro	t
አለሰለ፟ሰ	አለስልሷል	ያለሰል፟ስ	ያለሰል፟ሳል	ያለስልስ	አለስልስ	አለስልሶ	ማለስለስ		soften	t
አለ፟ቀ	አልቋል	ያልቅ	ያልቃል	ይለቅ	እለቅ	አልቆ	ማለቅ	አላቂ	end	i
አለቀ፟መ	አልቅሟል	ያለቅም	ያለቅማል	ያልቅም	አልቅም	አልቅሞ	ማልቀም	አልቃሚ	take to pasture	t
አላቀ፟መ	አላ፟ቅሟል	ያላ፟ቅ፟ም	ያላ፟ቅ፟ማል	ያላ፟ቅም	አላ፟ቅም	አላ፟ቅሞ	ማላ፟ቀም	አላ፟ቃሚ	help to reap	t
አለቀ፟ሰ	አልቅሷል	ያለቅስ	ያለቅሳል	ያልቅስ	አልቅስ	አልቅሶ	ማልቀስ	አልቃሽ	weep	i
