#Amharic Name	Latin Transcription	Alternative Amharic Spelling
ሽቤ	Šäbé	
ሽብልቅ	Šebelleq	
ሽብሩ	Šebberu	
ሽብር	Šebber	
ሽቦ	Šebo	
ሽታ	Šetta	
ሽታ ሽቶ	ŠettaŠetto	
ሽታሽቶ	ŠettaŠetto	
ሽታው	Šettaw	
ሽታዬ	Šettayé	
ሽቶ	Šetto	
ሽንቅጡ	Šenqeṭu	
ሽንቅጥ	Šenqeṭ	
ሽንተ ማጥ	Šentä-Maṭ	
ሽንገላ	Šengäla	
ሽንጥ	Šenṭ	
ሽንፈተኛ	Šänfätäñña	
ሽንፈተኞች	Šänfätäññočč	
ሽንፈት	Šenfät	
ሽንፊላ	Šenfilla	
ሽኩር	Šekur	
ሽኩቻ	Šekkučča	
ሽኮኮ	Šekokko	
ሽውራራ	Šäwearra	
ሽውታ	Šewweta	
ሽያጭ	Šeyyač̣	
ሽጉጥ	Šegguṭ	
ሽግግር	Šegegger	
ሽፈራው	Šefärraw	
ሽፋሽፍት	Šefašeft	
ሽፋው	Šefaw	
ሽፋጭ	Šaffač̣	
ሽፍታ	Šefta	
ሽፍን	Šeffen	
ሽፍጠኛ	Šäfṭäñña	
ሾላ	Šola	
ሾርባ	Šorba	
ሾርኒ	Šorni	
ሾተል	Šotäl	
ሾኔ	Šoné	
ሾገሬ	Šogäré	
ቀለህ	Qäläh	
ቀለመ	Qälämä-	
ቀለሙ	Qälämu	
ቀለም	Qäläm	
ቀለምሲስ	Qälämsis	
ቀለሟ	Qälämʷ	
ቀለበት	Qäläbät	
ቀለብ	Qälläb	
ቀለታ	Qäläta	
ቀላቲ	Qälati	
ቀላዋጭ	Qälawač̣	
ቀላድ	Qälad	
ቀላጤ	Qälaṭé	
ቀላፎ	Qällaffo	
ቀልባሽ	Qälbaš	
ቀልደኛ	Qäldäñña	
ቀልድ	Qäld	
ቀልጣፋ	Qälṭaffa	
ቀመር	Qämär	
ቀሚስ	Qämis	
ቀማኛ	Qämmañña	
ቀምበጥ	Qämbäṭ	
ቀረርቶ	Qärärto	
ቀረጥ	Qäräṭ	
ቀረፋ	Qäräfa	
ቀራንዮ	Qäraneyo	
ቀርሳ	Qärsa	
ቀርሺ	Qärši	
ቀርቀሃ	Qärqäha	
ቀርበታ	Qärbäta	
ቀርጨሞ	Qärč̣ämo	
ቀሰም	Qäsäm	
ቀሰስተኛ	Qäsästäñña	
ቀሲስ	Qäsis	
ቀስቃሽ	Qäsqaš	
ቀስተኛ	Qästäñña	
ቀስት	Qäst	
ቀበሌ	Qäbälé	
ቀበርቾ	Qäbäreččo	
ቀበሮ	Qäbäro	
ቀበቶ	Qäbätto	
ቀበና	Qäbäñña	
ቀበኛ	Qäbäñña	
ቀብርቾ	Qäbäreččo	
ቀብድ	Qäbd	
ቀነአ	Qänä'ä	
ቀና	Qänna	
ቀናተኛ	Qännatäñña	
ቀናኢ	Qäna'i	
ቀናው	Qännaw	
ቀን	Qän	
ቀንበር	Qänbär	
ቀንበጥ	Qänbäṭ	
ቀንብር	Qänbär	
ቀንደኛ	Qändäñña	
ቀንዲል	Qändil	
ቀንድ	Qänd	
ቀንዶ	Qändo	
ቀንጠፋ	Qänṭäffa	
ቀኖ	Qänno	
ቀኖና	Qännona	
ቀኖናዊ	Qännonawi	
ቀኖናዊያን	Qännonaweyan	
ቀኖናውያን	Qännonaweyan	
ቀኛዝማች	Qäññazmač	
ቀኝ	Qäññ	
ቀውላላ	Qäwlalla	
ቀውስ	Qäws	
ቀውጢ	Qäwṭi	
ቀያሽ	Qäyyaš	
ቀያቴ	Qäyyaté	
ቀዬ	Qäyé	
ቀይ	Qäyy	
ቀይ ባህር	Qäyy Baher	
ቀይህ	Qäyyeh	
ቀደም	Qäddäm	
ቀደር	Qédär	
ቀዳማዊ	Qädamawi	
ቀዳማይ	Qädamay	
ቀዳዳ	Qädada	
ቀዶ ጥገና	Qäddo-Ṭeggäna	
ቀጄላ	Qäjéla	
ቀጋ	Qäga	
ቀጠሮ	Qäṭäro	
ቀጠና	Qäṭäna	
ቀጥቃጭ	Qäṭqač̣	
ቀጥታ	Qäṭṭeta	
ቀጨሞ	Qäč̣ämo	
ቀጨኔ	Qäč̣äné	
ቀጭ	Qäč̣	
ቀጭኔ	Qäč̣č̣ené	
ቀጭን	Qäč̣č̣en	
ቀጸላ	Qäṣäla	
ቀፈት	Qäfät	
ቀፎ	Qäfo	
ቁልል	Qullel	
ቁልቁለት	Qulqulät	
ቁልቁል	Qulqul	
ቁልቋል	Qulqʷl	
ቁልቢ	Qullebbi	
ቁልፍ	Qulf	
ቁማር	Qumar	
ቁማርተኛ	Qumartäñña	
ቁማጭ	Qummač̣	
ቁም ነገር	Qum-Nägär	
ቁምላቸው	Qumelaččäw	
ቁምጣ	Qumṭa	
ቁምጥና	Qumṭenna	
ቁረን	Qurän	
ቁረንጮ	Quränč̣o	
ቁረኛ	Qurañña	
ቁራ	Qura	
ቁራኛ	Qurañña	
ቁራጭ	Qurrač̣	
ቁር	Qurr	
ቁርሴ	Qursé	
ቁርስ	Qurs	
ቁርቁራ	Qurqura	
ቁርበት	Qurbät	
ቁርባ	Qurrebba	
ቁርባን	Qurban	
ቁርአን	Qur'än	
ቁርእን	Qur'än	
ቁርዝ	Qurz	
ቁርጠት	Qurṭät	
ቁርጠኛ	Qurṭäñña	
ቁርጥ	Qurṭ	
ቁርጥማት	Qurṭemat	
ቁርጥራጭ	Qureṭrač̣	
ቁርጭምጭምት	Qurč̣emč̣emt	
ቁስ አካላነት	QusÄkalennät	
ቁስ አካላዊ	QusÄkalawi	
ቁስ አካል	QusÄkal	
ቁስ አካልነት	QusÄkalennät	
ቁስለኛ	Qusläñña	
ቁስል	Qusel	
ቁስቋም	Qusqʷm	
ቁስጥንጥንያ	Qusṭenṭeneya	
ቁኒ	Qunni	
ቁና	Qunna	
ቁንቁን	Qunqun	
ቁንዲ	Qundi	
ቁንዶ በርበሬ	Qundo Bärbäré	
ቁንጣን	Qunṭan	
ቁንጥጫ	Qunṭeč̣č̣a	
ቁንጫ	Quneč̣č̣a	
ቁንጮ	Qunč̣o	
ቁንጽል	Qunṣel	
ቁጠባ	Quṭṭäba	
ቁጢት	Quṭit	
ቁጥር	Quṭer	
ቁጥቋጦ	Quṭqʷṭo	
ቁጥጥር	Quṭeṭṭer	
ቁፋሮ	Quffaro	
ቂል	Qil	
ቂም	Qim	
ቂርቆስ	Qirqos	
ቂንድ	Qind	
ቂጣ	Qiṭṭa	
ቂጥኝ	Qiṭṭeññ	
ቃለ አጋኖ	Qalä-Ägganno	
ቃለ ጉባኤ	Qalä-Guba'é	
ቃሉ	Qallu	
ቃሊብ	Qalib	
ቃሊቲ	Qallitti	
ቃላት	Qalat	
ቃሌም	Qalém	
ቃል	Qal	
ቃልቻ	Qallečča	
ቃሪያ	Qariya	
ቃሬዛ	Qaréza	
ቃርያ	Qarya	
ቃሲም	Qasim	
ቃተኛ	Qätäñña	
ቃታ	Qata	
ቃና	Qana	
ቃና ዘገሊላ	QanaZägälila	
ቃንቄ	Qanqé	
ቃኖ	Qänno	
ቃኘው	Qäññäw	
ቃየል	Qayäl	
ቃዲ	Qadi	
ቃጤ	Qaté	
ቃጫ	Qač̣č̣a	
ቃጭል	Qač̣el	
ቄራ	Qéra	
ቄርሎስ	Qérelos	
ቄሳር	Qésar	
ቄስ	Qés	
ቄብ	Qéb	
ቄንሳ	Qénsa	
ቄንሶ	Qénso	
ቄንጠኛ	Qénṭäñña	
ቄንጥ	Qénṭ	
ቄደር	Qédär	
ቄጠማ	Qéṭäma	
ቅሌት	Qellét	
ቅል	Qel	
ቅልሞሽ	Qelmoš	
ቅልበሳ	Qelbäsa	
ቅልብ	Qelleb	
ቅልጣን	Qelṭan	
ቅልጥም	Qelṭem	
ቅመማ	Qemmäma	
ቅመም	Qemäm	
ቅማል	Qemal	
ቅማት	Qemat	
ቅማንት	Qemant	
ቅምቡርስ	Qemburs	
ቅምብቻ	Qembečča	
ቅምጥ	Qemmeṭ	
ቅምጥል	Qemeṭṭel	
ቅምጦት	Qenṭot	
ቅምጫና	Qemč̣ana	
ቅምጭብ	Qenč̣ebt	
ቅሪላ	Qerilla	
ቅሪት	Qerrit	
ቅራቅንቦ	Qeraqenbo	
ቅራኔ	Qerrané	
ቅሬ	Qeré	
ቅሬታ	Qerréta	
ቅርሩ	Qererru	
ቅርሴ	Qersé	
ቅርስ	Qers	
ቅርሶች	Qersočč	
ቅርሻት	Qeršat	
ቅርቃብ	Qerqab	
ቅርንጫፍ	Qerenč̣af	
ቅርንጫፎች	Qerenč̣afoč̣č̣	
ቅርንጭፎች	Qerenč̣afočč	
ቅርንፉድ	Qerenfud	
ቅርጫ	Qerč̣a	
ቅርጫት	Qerč̣at	
ቅርጽ	Qerṣ	
ቅርፊት	Qerfitt	
ቅሲም	Qasim	
ቅስም	Qesm	
ቅስቀሳ	Qesqäsa	
ቅስት	Qesset	
ቅስና	Qessenna	
ቅቅል	Qeqqel	
ቅበላ	Qebbäla	
ቅባ ኑግ	QebaNug	
ቅባት	Qebat	
ቅቤ	Qebé	
ቅብአ ቅዱስ	Qeb'ä-Qedus	
ቅብኣት	Qeb'at	
ቅብዝብዝ	Qebezebez	
ቅብጥ	Qebṭ	
ቅናሽ	Qennaš	
ቅናት	Qenat	
ቅናጅ	Qennaj	
ቅኔ	Qené	
ቅንስናሽ	Qenesnaš	
ቅንቀና	Qenqäna	
ቅንአት	Qen'ät	
ቅንጅት	Qenejjet	
ቅንጣት	Qenṭat	
ቅንጦት	Qenṭot	
ቅንጭብት	Qenč̣ebt	
ቅንፍ	Qennef	
ቅኝ	Qeññ	
ቅዘን	Qezän	
ቅየሳ	Qeyyäsa	
ቅያስ	Qeyyas	
ቅዱሰ	Qeddusä-	
ቅዱሳት	Qeddusat	
ቅዱሳን	Qeddusan	
ቅዱስ	Qeddus	
ቅዳሜ	Qedamé	
ቅዳሜ ሱር	QedaméSur	
ቅድመ	Qedmä-	
ቅድሚያ	Qedmiya	
ቅድስተ	Qeddestä-	
ቅድስት	Qeddest	
ቅጠል	Qeṭäl	
ቅጣት	Qeṭat	
ቅጣው	Qeṭaw	
ቅጥራን	Qeṭran	
ቅጥር	Qeṭer	
ቅጥቅጣት	Qeṭqeṭat	
ቅጥያ	Qeṭṭeyya	
ቅጽ	Qeṣ	
ቅጽል	Qeṣṣel	
ቅጽበታዊ	Qeṣbätawi	
ቅጽበት	Qeṣbät	
ቅፍርናሆም	Qefrenahom	
ቆለኛ	Qolläñña	
ቆላ	Qolla	
ቆላ ድባ	Qolla Debba	
ቆላፋ	Qollaffa	
ቆሌ	Qollé	
ቆሎ	Qolo	
ቆመጥ	Qomäṭ	
ቆማጣ	Qomaṭa	
ቆምስ	Qomos	
ቆሞስ	Qomos	
ቆረቆር	Qoräqor	
ቆሪ	Qori	
ቆራጥ	Qorraṭ	
ቆራጭ	Qorač̣	
ቆርቆሮ	Qorqorro	
ቆርቾ	Qoreččo	
ቆርነሌዎስ	Qornäléwos	
ቆሮንጦስ	Qoronṭos	
ቆሳቁስ	Qosaqus	
ቆስጠንጢኖስ	Qosṭänṭinos	
ቆስጣ	Qosṭa	
ቆሽማዳ	Qošmadda	
ቆሽት	Qošt	
ቆቃ	Qoqa	
ቆበ	Qob	
ቆበር	Qobär	
ቆብ	Qob	
ቆቦ	Qobbo	
ቆቱ	Qottu	
ቆንስል	Qonsel	
ቆንዳላ	Qondala	
ቆንዶ በርበሬ	QundoBärbäré	
ቆንጅት	Qonjet	
ቆንጥር	Qonṭer	
ቆዳ	Qoda	
ቆጥ	Qoṭ	
ቆጭቶ	Qoč̣č̣eto	
ቆጮ	Qoč̣č̣o	
ቆፈን	Qofän	
ቋሊማ	Qʷlima	
ቋሚ	Qʷmi	
ቋር	Qʷr	
ቋቁቻ	Qʷqučča	
ቋት	Qʷt	
ቋንጃ	Qʷnja	
ቋንጣ	Qʷnṭa	
ቋያ	Qʷyya	
ቋግሚት	Qʷgmit	
ቋጥኝ	Qʷṭeññ	
በሀኪም	Bähäkim	
በለሳ	Bäläsa	
በለስ	Bäläs	
በለው	Bäläw	
በለጠ	Bälläṭä	
በለጠች	Bälläṭäčč	
በለጡ	Bälläṭu	
በለጤ	Bälläṭé	
በለጥሻቸው	Bälläṭšaččäw	
በላተኛ	Bällatäñña	
በላቸው	Bälaččäw	
በላይ	Bälay	
በላይ ሁን	BälayHun	
በላይ ነህ	BälayNäh	
በላይ ነሽ	BälayNäš	
በልሁ	Bällehu	
በልዩ	Bäleyyu	
በልግ	Bälg	
በረሀ	Bäräh	
በረሃ	Bäräha	
በረህ	Bäräh	
በረራ	Bärära	
በረት	Bärät	
በረንዳ	Bärända	
በረኛ	Bärräñña	
በረከት	Bäräk̃ät	
በረክ	Bäräk	
በረኸት	Bäräk̃ät	
በረደድ	Bäräddäd	
በረዶ	Bärädo	
በረጋ	Bärägga	
በረጋህልኝ	Bäräggahelleñ	
በሪ	Bäri	
በሪዳ	Bärida	
በራሪ	Bärari	
በራኪ	Bäraki	
በራኺ	Bärak̃i	
በራዡ	Bärraz̃	
በራዥ	Bärraz̃	
በራፍ	Bärraf	
በሬ	Bäré	
በሬሳ	Bärréssa	
በር	Bärr	
በር ይሁን	BärrYehun	
በርሄ	Bärehé	
በርሚል	Bärmil	
በርሜል	Bärmél	
በርሞሌ	Bärmolé	
በርሳ ሰዲ	Bärsä-Sädi	
በርበሬ	Bärbäré	
በርባን	Bärban	
በርቱማ	Bärtumma	
በርቱካ	Bärtuka	
በርታ	Bärta	
በርቶሎሜዎስ	Bärtoloméwos	
በርናባስ	Bärnabas	
በርኖስ	Bärnos	
በርጨቃ	Bärč̣äqa	
በርጩማ	Bärč̣umma	
በሰጊድ	Bäsägid	
በሱ ፈቃድ	BässuFäqad	
በስተርጅና	Bästärjenna	
በስፋ ነሽ	TäsfaNäš	
በሶ	Bässo	
በሶ ብላ	BässoBela	
በሹ	Bäšu	
በሺር	Bäšir	
በሻህ	Bäšah	
በሻዳ	Bäšada	
በሽሎ	Bäšlo	
በሽር	Bäšer	
በሽታ	Bäššeta	
በቀለ	Bäqqälä	
በቀለች	Bäqqäläčč	
በቀሉ	Bäqqälu	
በቀል	Bäqäl	
በቀልት	Bäqqält	
በቀት	Bäqät	
በቁሙ	Bäqumu	
በቃሉ	Bäqalu	
በቆልት	Bäqqolt	
በተሀ	Bätähä	
በትረ	Bäträ-	
በትሩ	Bätru	
በቸረር	Bäčärär	
በነበሩ	Bänäbbäru	
በኒአምር	Bäni'ämer	
በንቲ	Bänti	
በአሉ	Bä'alu	
በአካል	Bä'äkal	
በኣሉ	Bä'alu	
በኣላት	Bä'alat	
በኣል	Bä'al	
በእምነት	Bä'emnät	
በእውቀቱ	Bä'ewqätu	
በእውቀት	Bä'ewqät	
በእደ	Bä'edä-	
በኩረ	Bäkurä-	
በኩራይ	Bäkuray	
በኩር	Bäkur	
በክሩ	Bäkru	
በክሪ	Bäkri	
በዘፈቀደ	Bäzäfäqädä	
በዙ	Bäzzu	
በዛ	Bäzza	
በዛበህ	Bäzzabbeh	
በዛብህ	Bäzzabbeh	
በዜ	Bäzzé	
በዝባዥ	Bäzbaz̃	
በየነ	Bäyyänä	
በየነች	Bäyyänäčč	
በያን	Bäyyan	
በይነ ትግብርት	Bäynä-Tegbert	
በይን	Bäyyen	
በደሌ	Bäddällé	
በደል	Bädäl	
በደኖ	Bäddänno	
በደዊ	Bädäwi	
በደዌ	Bädäwé	
በዲሳ	Bäddéssa	
በዳኔ	Bädané	
በዳይ	Bädday	
በዳዳ	Bädada	
በድሉ	Bäddelu	
በድሩ	Bädru	
በድሪ	Bädri	
በድሪያ	Bädriya	
በድን	Bäden	
በድአሶ	Bäd'äso	
በድጋፍ	Bädegaf	
በጅሮንድ	Bäjerond	
በጊ	Bägi	
በጋ	Bäga	
በጋሻው	Bägaššaw	
በጌምድር	Bägémder	
በግ	Bäg	
በጐ	Bäggo	
በጣጢስ	Bäṭaṭis	
በጨር	Bäč̣är	
በጸሃ	Bäṣha	
በጽሃ	Bäṣha	
በፈቃዱ	Bäfäqadu	
በፍርዱ	Bäferdu	
በፍታ	Bäfta	
ቡሀቃ	Buhäqa	
ቡሄ	Buhé	
ቡሆ	Buho	
ቡሊ	Buli	
ቡላ	Bulla	
ቡሌ	Bulé	
ቡልቻ	Bulča	
ቡልጋ	Bulga	
ቡራቡሬ	Burrahurré	
ቡራኬ	Buraké	
ቡሬ	Buré	
ቡርቃ	Burqa	
ቡሰይሪ	Busäyri	
ቡሴይር	Buséyyer	
ቡሽራ	Bušera	
ቡቃያ	Buqayya	
ቡቅሬ	Buqré	
ቡባሞ	Bubamo	
ቡቱቶ	Butetto	
ቡታ	Butta	
ቡታ ጅራ	ButtaJera	
ቡችላ	Buččella	
ቡችሎች	Buččelločč	
ቡና	Bunna	
ቡናማ	Bunnamma	
ቡንኝ	Bunneññ	
ቡአ	Bu'ä	
ቡከን	Bukkän	
ቡይት	Buyyet	
ቡድን	Buden	
ቡጢ	Buṭṭi	
ቢሆነኝ	Bihonäññ	
ቢለዋ	Billäwa	
ቢልልኝ	Bilelleñ	
ቢልባህ	Bilbah	
ቢምረው	Bimeräw	
ቢራ	Bira	
ቢራቢሮ	Birrabirro	
ቢራቱ	Birrattu	
ቢርመጂ	Birmäji	
ቢሻሽ	Bišaš	
ቢሾፍቱ	Bišoftu	
ቢቂላ	Biqila	
ቢተው	Bitäw	
ቢተውልኝ	Bitäwelleñ	
ቢትወደድ	Bitwäddäd	
ቢነጋ	Binäga	
ቢዘን	Bizän	
ቢያድግልኝ	Biyadgelleñ	
ቢጫ	Bič̣a	
ቢፍቱ	Bahar	
ባሃር	Bahar	
ባሃዳድ	Bahadad	
ባህረ	Baherä-	
ባህረ ነጋሽ	BaherNägaš	
ባህረኛ	Baheräñña	
ባህር	Baher	
ባህር ማሽላ	BaherMašella	
ባህር ነጋሽ	BaherNägaš	
ባህር ዳር	BaherDar	
ባህርያት	Bahereyat	
ባህርይ	Baherey	
ባህታ	Baheta	
ባህታዊ	Bahetawi	
ባለ	Balä-	
ባለ ሟል	Balämʷl	
ባለ እኩል	Balä-Ekkul	
ባለ እጅ	Balä-Ejj	
ባለስልጣን	Balä-Selṭan	
ባለቤት	Baläbét	
ባለኩል	Baläkkul	
ባለጅ	Baläjj	
ባሊላ	Balilla	
ባላ	Balla	
ባላምበራስ	Balambäras	
ባላምባራስ	Balambaras	
ባላባታዊ	Balabbatawi	
ባላባታዊነት	Balabbatawinnät	
ባላባት	Balabbat	
ባላንጋራ	Balangara	
ባላንጣ	Balanṭa	
ባላገር	Balagär	
ባላጋራ	Balagara	
ባሌ	Balé	
ባል	Bal	
ባል ሟል	Balämʷl	
ባልቴት	Baltét	
ባልትና	Baltenna	
ባልቻ	Balča	
ባልቾ	Balleččo	
ባልንጀራ	Balenjära	
ባልንጅራ	Balenjära	
ባልከው	Balkäw	
ባልደረባ	Baldäräba	
ባልደራስ	Baldäras	
ባልዲ	Baldi	
ባልዳ	Balda	
ባልጭት	Balč̣ett	
ባሕሩ	Baheru	
ባምቡሌ	Bambulé	
ባረንቱ	Baräntu	
ባሩዳ	Baruda	
ባሩድ	Barud	
ባሪያ	Bariya	
ባሪያዎች	Bariyawočč	
ባራቱማ	Baratuma	
ባሬታ	Barrétta	
ባሬንቱ	Baréntu	
ባርነት	Barennät	
ባርኔጣ	Barnéṭa	
ባርካ	Barka	
ባርያ	Barya	
ባሮች	Baročč	
ባሳዝነው	Basazzenäw	
ባስልዮስ	Basleyos	
ባሻ	Bašša	
ባሻገር	Baššaggär	
ባቅላባ	Baqlaba	
ባቡ	Babbu	
ባቢሌ	Babbilé	
ባተሌ	Batälé	
ባቲ	Bati	
ባት	Bat	
ባት ወሰን	Bant-Yewwäsän	
ባት ይርጉ	Bant-Yergu	
ባት ይዋሉ	Bant-Yewalu	
ባኒ	Bani	
ባና	Bana	
ባንት አየሁ	Bant-Äyyähu	
ባንት ይርጉ	BantYergu	
ባንት ይወሰን	BantYewwäaän	
ባንት ይዋሉ	Bantyewalu	
ባንች ይርጉ	Bančč-Yergu	
ባንች ይርጋ	BanččYerga	
ባንዲራ	Bandira	
ባንዳ	Banda	
ባንጃው	Banjaw	
ባእዳን	Ba'edan	
ባእድ	Ba'ed	
ባካሉ	Bakalu	
ባኮ	Bakko	
ባኰ	Bakko	
ባዘቶ	Bazäto	
ባዙቃ	Bazuqa	
ባዚን	Bazin	
ባዝራ	Bazra	
ባዩ	Bayyu	
ባዩሽ	Bayyuš	
ባይለየኝ	Bayelläyyäñ	
ባይሩ	Bayeru	
ባይሳ	Bayyesa	
ባይተዋር	Baytäwar	
ባይነሳኝ	Baynäsañ	
ባይንሳኝ	Baynäsañ	
ባይከዳኝ	Baykädañ	
ባደንጋ	Badänga	
ባደግ	Baddäg	
ባዲያብ	Badiyab	
ባድማ	Bademma	
ባዶ	Bado	
ባጥ	Baṭ	
ባፈና	Bafäna	
ቤለማ	Bélläma	
ቤላማ	Bélama	
ቤላም	Bélema	
ቤሳ	Bésa	
ቤተ	Bétä-	
ቤተ ሰብ	Bétä-Säb	
ቤት	Bét	
ቤቶች	Bétočč	
ቤኛ	Béñnã	
ቤካ	Békka	
ቤዛ	Béza	
ቤዶ	Béddo	
ብሄረ ሰቦች	Behérä-Säbočč	
ብሄረ ሰብ	Behérä-Säb	ብሄረስብ
ብሄረ ሰቦች	Behérä-Säbočč	
ብሄረ ስብ	Behérä-Säb	
ብሄረተኛ	Behérätäñña	
ብሄረተኛነት	Behérätäññannät	
ብሄራዊ	Behérawi	
ብሄር	Behér	
ብሄርነት	Behérennät	
ብሄሮች	Behéročč	
ብለሽ	Belaš	
ብላሽ	Belaš	
ብላታ	Belatta	
ብላቴና	Belatténa	
ብላቴን	Belattén	
ብሌን	Belén	
ብል	Bel	
ብልሀተኛ	Belehätäñña	
ብልሀት	Belehät	
ብልሃተኛ	Belehatäñña	
ብልሃት	Belehat	
ብልህ	Beleh	
ብልማ	Bélläma	
ብልሽት	Beleššet	
ብልቃጥ	Belqaṭ	
ብልብላ	Belbella	
ብልት	Bellet	
ብልኮ	Bellekko	
ብልጭታ	Belleč̣ta	
ብሎን	Belon	
ብረታ ብረት	Beräta-Berät	
ብረት	Berät	
ብረት ለበስ	BerätLäbbäs	
ብሩ	Berru	
ብሩሽ	Beruš	
ብሩኬ	Beruké	
ብሩክ	Beruk	
ብሩክታዊት	Beruktawit	
ብሩክት	Berukt	
ብሪቱ	Berritu	
ብሪንጥ	Berinṭ	
ብራና	Beranna	
ብራኳ	Berakkʷ	
ብሬ	Berré	
ብር	Berr	
ብር ነሽ	BerrNäš	
ብርሃነ	Berhanä-	
ብርሃኑ	Berhanu	
ብርሃኔ	Berhané	
ብርሃን	Berhan	
ብርሌ	Berellé	
ብርቂቱ	Berqitu	
ብርቄ	Berqé	
ብርቅ	Berq	
ብርቅ ነሽ	BerqNäš	
ብርቅነሽ	BerqNäš	
ብርብራ	Berberra	
ብርብር	Berber	
ብርቱ	Bertu	
ብርቱካን	Bertukan	
ብርታት	Bertat	
ብርንዶ	Berendo	
ብርኩማ	Berkumma	
ብርክቲ	Berekti	
ብርክት	Berekt	
ብርዝ	Berz	
ብርዞ	Berzo	
ብርዬ	Berreyyé	
ብርዳም	Berdam	
ብርድ	Berd	
ብርጩፋ	Berč̣ufa	
ብርጭቆ	Berč̣eqqo	
ብሳና	Besanna	
ብስለት	Beslät	
ብስል	Besel	
ብስል ተቀሊል	BeselTäqälil	
ብስራተ	Besratä-	
ብስራት	Besrat	
ብስኩቴ	Beskuté	
ብስኩት	Beskut	
ብሶት	Besot	
ብሽሽት	Bešeššet	
ብቃት	Beqat	
ብቅል	Beqel	
ብብት	Bebbet	
ብታ ጅራ	ButtaJera	
ብትወጣ	Betwäṭa	
ብቸሬ	Bečäré	
ብቸና	Bečäna	
ብቸኛ	Beččäñña	
ብናኝ	Bennañ	
ብንያሚን	Beneyamin	
ብንያም	Beneyam	
ብእር	Be'er	
ብኩርና	Bekurenna	
ብኩን	Bekun	
ብዙ	Bezu	
ብዙ ነህ	BezuNäh	
ብዙ ነሽ	BezuNäš	
ብዙሃን	Bezuhan	
ብዝበዛ	Bezbäza	
ብዝባዛ	Bezbaza	
ብድር	Bedder	
ብጉር	Begur	
ብጉንጅ	Begunj	
ብጡል	Beṭul	
ብጤ	Beṭé	
ብጹዕ	Beṣu'e	
ብጽአት	Beṣ'ät	
ቦለቄ	Boläqé	
ቦለቅያ	Bolläqeyya	
ቦላሌ	Bolalé	
ቦሌ	Bolé	
ቦልቦሌ	Bolbollé	
ቦረና	Boräna	
ቦረን	Borän	
ቦረንትቻ	Boränttečča	
ቦረዳ	Borädda	
ቦሩ	Boru	
ቦራ	Bora	
ቦሬ	Boré	
ቦርሳ	Borsa	
ቦርዴ	Bordé	
ቦርጋ	Borga	
ቦርጭ	Borč̣	
ቦሰና	Bosäna	
ቦቃ	Boqa	
ቦቆጂ	Boqoji	
ቦታ	Bota	
ቦና	Bona	
ቦንሳ	Bonsa	
ቦንዳ	Bonda	
ቦንጋ	Bonga	
ቦኩ	Bokku	
ቦካ	Bokka	
ቦኮ	Bokko	
ቦዘና	Bozäna	
ቦዘኔ	Bozäné	
ቦዘኔነት	Bozänénnät	
ቦይና	Boyna	
ቦዲቲ	Bodditi	
ቦዲቴ	Boditti	
ቦዳ	Bodda	
ቦጄ	Bojé	
ቦጋለ	Boggalä	
ቦጋለች	Boggaläčč	
ቦጐስ	Bogos	ቦጎስ
ቧ ያለው	Bʷ-Yaläw	
ቧንቧ	Bʷnbʷ	
ቧያለው	Bʷ-Yaläw	
ቧጋች	Bʷgač	
ቨርሙጥ	Värmuṭ	
ተሀድሶ	Tähäddeso	
ተሁለደሬ	Tähulädäré	
ተለዋዋጭ	Täläwawač̣	
ተሊላ	Tälila	
ተላላኪ	Tälalaki	
ተላላፊ	Tälalafi	
ተልአል	Täle'äl	
ተልእል	Täle'äl	
ተልእኮ	Täle'eko	
ተመልሶ	Tämälso	
ተመልካች	Tämälkač	
ተመሳሳይ	Tämäsasay	
ተመስገን	Tämäsgän	
ተመናይ	Tämänay	
ተመን	Tämän	
ተመኙ	Tämäññu	
ተመኝ	Tämäññ	
ተሙን	Tämun	
ተማም	Tämam	
ተምር	Tämer	
ተምቤን	Tämbén	
ተምትሜ	Tämtemé	
ተምች	Tämč	
ተምኔታዊ	Tämenétawi	
ተምኔታዊነት	Tämenétawinnät	
ተምኔት	Tämenét	
ተሟጋች	Tämʷgač	
ተረበኛ	Täräbäñña	
ተረብ	Täräb	
ተረተር	Tärätär	
ተረኛ	Täräñña	
ተረፈ	Tärräfä	
ተረፈች	Tärräfäčč	
ተረፉ	Tärräfu	
ተራ	Tära	
ተራማጅ	Täramaj	
ተራራማ	Täraramma	
ተራቢ	Tädärrabi	
ተራዳ	Tärada	
ተራድኦ	Tärade'o	
ተርብ	Tärb	
ተርታ	Tärta	
ተርፉ	Tärfu	
ተርፋ	Tärfa	
ተርፋሳ	Tärfasa	
ተሰሎንቄ	Täsälonqé	
ተሰማ	Täsämma	
ተሰራ	Täsärra	
ተሰራች	Täsärračč	
ተሰነይ	Täsänäy	
ተሰፋ ሁን	TäsfaHun	
ተሳቢ	Täsabi	
ተሳትፎ	Täsatfo	
ተስማሚ	Täsmami	
ተስቦ	Täsebo	
ተስፉ	Täsfu	
ተስፋ	Täsfa-	
ተስፋ የሱስ	Täsfa-Yyäsus	
ተስፋ የስ	Täsfa-Yyäs	
ተስፋ-ሁን	Täsfa-Hun	
ተስፋ-ቢስ	TäsfaBis	
ተስፋ-ነሽ	Täsfa-Näš	
ተስፋው	Täsfaw	
