# ITALIANO	OROMO	OROMO-Ethiopic	AMARICO	AMARICO-Ethiopic	TIGRINO	TIGRINO-Ethiopic	FRANCESE	ARABO A.O - Egitto - Asia - Libia - Africa sett.
abbaiare	óuttu 		tciohà	ጮኸ	neqqewè	ነቂሁ	aboyer	nabach - mabach
epidemia	fèra	ፋራ	hemam	ህማም	hemàn	አመም	épidémie	dâ, âalla, uabâ - ubê
erba	cità	ጪቴ	esar	ሳር	saerì	እስር	herbe	ôscba, hhasis - hhseiys, rbîh
escire	basu	ባሱ	wettà	ወጣ	wetsè	ወፂው	sortir	kharag, talaâ - tlâh
escremento	talò		fandia	ፋንዲያ	cuoshy		excrément	hharâ, zebl - bôl
eseguire bene	gadugari		adereghè	አድርግ	qetsè		faire bien	aghra taib - tammam bähi
esempio	giaccia		abeunèt	አብነት	abeunèt	አብነት	exemple	matsal, matâl - mtel
esercito	naò		serawìt	ሰራዊት	serawyt	ሰራዊት	armée	gesc
esplorare	gafaciù		fettescè	ፈተሸ	ayyenè		explorer	tagiâssas - dauwur
esplosivo	dòwu	ቆዉ	affenedàg	አፈንዳጁ	tekhuscì		exploisif	saâca, chessaâ
essere	giraciù		honè	ሆነ	konè	ኮኑ	être  	kân
est, levante	barabòru		raeseràqq	ምስራቅ	meserèqh		est, orient	sciârk - sarg
estate	bòna		begà	በጋ	hagài		été	sef, sseîf - sêf
estorcere	sàmu		addeballeqqe	አደባለቀ	attaletè		extorquer	sciâuasc, khârbat
estrarre	bàsu, bùssu		awettà	አወጣ	aweutsè	አውፂው	extraire	krass, talla, akhzag
età	gadà		edmiè	እድሜ	edmiè	እድሜ	âge	sinn, ômr - homêr
euforbio	hàdami		kolkual	ቁልቁል	quolqual	ቁልቁል	euphorbe	lubâna maghrebîa
europeo	frèngi		afrèng	ፈረንጅ	frèngi	ፈረንጅ	européen	ufrangî - rûmi
evacuare	bobau		leqqeqqè	ለቀቀ	harèe		évacuer	akhla, afrag - krâ, khâra
fabbro	tumtù		devenansa		ttebib		forgeron	haddâd - hhaddêd
facchino	batù		tesciaccami		tseuwari		portefaix	hammâl, sayyâl - hhammêl
faccia	bîfa		fit	ፊት	ghets	ገፅኪ	visage	uageh, nible - wuzh, wuzêh
facile	diòda		gher 	ገር	qelil		facile	sahl, sâhil, bâyin - sêhel
fagioli	adungurì		andeguarièc	አደንጓሬ	adagurà		haricots	lubia, fasûlya - lûbjä
falciare	amù		accedè	አጨደ	atsedè	አፀዲ	faucher	hasad, casal, hass - hhäss
falco	rissa		ccilfìt	ጭልፊት	lilà		faucon	khattâf - ettêr el-bûrni, bâz
falegname	tumtù mukà		tterabì, annaty	ጠራቢ፣ አናጢ	tseraby		menuisier	naggiâr, naggâr - näzzêr
falso	sobdu	ሰበዱ	wasciò	ዋሾ	tseyyùqq		faux	mazâuar, kidib, mkäddib
fame	belì	ቤሲ	rab	ራብ	ttemièt	ጠሚቱ	faim	giuâ - zûeh, guh
famiglia	gosa	ጎሳ	zemed	ዘመድ	sedrà	ሰድራ	famille	aîla, ahl, êla - êhel, hêilä
fanale, lampione	ipsa	ኢብሳ	fanòs	ፋኖስ	fanùs	ፈናስ	fanal	fanâr, bâsâgâr - fnêr
fanciullo	gurba	ጉረባ	lig, leg, ascekàr	ልጅ፣ ጨቅላ	weddy	ወዲ	enfant	sabi, walad - ûled, shêjir
fango	biò		cceqqà	ጭቃ	cceqqà	ጭቃ	fange, boue	tin, uahhl - tyn, hârga
fantasia araba 	sirba		magnot		guailà		fantasia	khâter
fante	lafò		sàu egrègna		ascàri		fantassin	âascari, giondii - tärres
fanteria	lafôta		egregna	እግረኛ	agar		infanterie	âscar massciât, biyâda, râgel
faraona	guagùri		geugrà		qoqàh		pintade	farkha - dzêza
fardello	bàtu		scekhem	ሸክም	ttephlàl		paquet, fardeau	razma, hamla, hhezmä
fare	godù		aderreghè	አድርጌ	gheberè, qqetsè		faire  	faâl, dar kallâ - hâmal
farina	dacù		duqqièt, doqièt	ዳገት	aritsch		farine	daghigh, diqîq - färînä
farmacia	guragura coriccia		ie medanitbiet	መድሃኒት ቤት	biet - fewusì	ቤተ ፈውሲ	pharmacie	egzaia, saidalia - äzzäkênä
farmacista	cedàttu coriccia		medhanit serì	መድሃኒት ሰሪ	bel - fewusì		pharmacien	agzâgi, saidalii - äzzêzi
faro	tomborà		mekràt	መብራት	fanus		phare	fanâr, manâra - dou
fava	bakelà		bachielà	ባቄላ	baldàngue		fève	ful, fûla
favore	éba		beggho - serà	በጎ ስራ	hendè		faveur	marhûf - mzîl, marhûf
favore (per) 	asèni		bebeggo serà	በበጎ ስራ	behendè		s'il vous plaît	ahmel-li zmîl
fazzoletto	wajà fugnani		maharrem	መሃረብ	mearemià	መአረብ	mouchoir	mandîl, mharma - minzil, mändîr
febbraio	lamafa bati		yeccatìt	የካቲት	yecatît	የካቲት	février	sitab, bebrâyir, febrâier
febbre	olàta		nedàd, wobà	ንዳድ፣ወባ	asò	አሶ	fièvre	homma, sakhûna - hhemmä
fegato	tirù		gubbet	ጉበት	kebdy	ከብዲ	foie	chebda, chibd - kebdä
felice	ajantù		dessetegnà	ደስተኛ	betsuè		heureux	saîd, sahîd - mabrûk
femmina	naddè		sièt	ሴት	sebeitì	ሰበይቲ	femelle	entâia, nitâye - entâjä
ferito	madaè		cussel	ቁስል	qusly	ቁስሊ	blessé	gerh, zêrahh
fermare	cùfu		aquomè	አቁም	qomè	ቁም	arrêter	wiqif, auqfa - uâggaf
fermata	cufànta		marefià	ማረፊያ	ereftì	እረፍቲ	arrêt, halte	waqfe, uaghfa, mahât
fermo!	giabà		quomè, ttenù	ቆመ፣ 	qqewùm	ቆይሙ	halte-là	uâghef - gûf, hand-ak
ferro	sibìlla		berèt	በረት	atsìn		fer	hadîd - hhadîd
ferrovia	dàndi sibìlla		mengèd berèt	መንገድ-በረት	menghedy-hatsin		chemin de fer	sikke hadîd -- smendefêr
festa	buttà		bal	ባል	baal	ባል	fête	êid, hîd - heid, hers
fiamma	belbela		lancà, welafèn	ላንቻ፣ ወላፈን	nebelbàl	ነበልባል	flamme	lahîb - lehîb, shäb
fiammifero	godù belbela		kerbìt	ክርቢት	cherbìt	ከርቢት	allumette	ugîda
fianco	muddì		scèntt	ጭን	gudny		flanc	gianb - zihä, zanb
fichi	lugôta		beles, sciolaòc	በለስ፣ ሾላ	belles	በለስ	figues	tina, tin - karmûsin
fienagione	canciò		accedè sar	አፀደ ሳር	derquà		fenaison	hesâd gasc, qatah hilbe
fieno	okà		derquòsc, sar	ድርቆሽ፣ ሳር	derqquà	ደሪቁ	foin	gasc, hascîsc, diris, gûrf, ssaira
fiera, mercato	gabià		ghebeià	ገበያ	edagà	እደጋ	foire	suk, sûg, suêg
fiero	busa		curù	ኩሩ	teekàn		fier	motakâbber
figlia	intalò	ኢንቶሎ	sièt - lig, ligee	ሴት ልጅ	guàl	ጋል	fille	bent, bint, ualâda, bneijä
figlio	ilma		lig	ልጅ	weld	ወዲ	fils	ebn, ualad - wûld, wulêd
fine	duma		cerrasc	ቀጭን	neweda - età		fin	âkhir, enteha - êkrär
finimenti	mià fardati		yebecchelò	ማሰር	serràt		harnais	legiâm, heddä
finire	dûmu		ccerresè	ሰረፀ	weddè		finir	antaha, khallas - kmêl, kmîl
fionda	gacè		uancèf	ወንጭፍ	wenceff		fronde	maklâa
fiore	abadà		abebà	አበባ	embabà	አበባ	fleur	zahra - nouwâra
fiumana	hurrì		fesasc-weà	ፈሳሽ -ውሃ	abyy rubà		torrent	giâri, sâil - uâdi, zerrêjä
fiume	làga		uanz	ወንዝ	rubà		fleuve	nahr, nahar
focolare	eddè ibìdda		medegià	ምድጃ	afhawy		foyer	mâucada, kanûn, mihma
foglia	bàla	ባላ	qqettèl	ቅጠል	qquetselì		feuille	uârak, warâqa - uarga
fogliame	obansa		qqettelòc	ቅጠሎች	cataf		feuillage	uargêt, uâfer
folle	marata	መራታ	ebd	እብድ	ebùd	እብዲ	fou	gâbi, magnûn -bsîm
fontana	bùrka		mentc	ምንጭ	ayny - mai		fontaine	berca, sabîl - sebbêla, sbîl
foraggio	okà		sar	ሳር	derqquà		fourrage	gasc iâbes - gûrf jäbis
forbici	magàsi		meqqès	መቀስ	mekès	መቀል	ciseaux	maqass, magiâz - mgasd
forchetta	fallana obdì		sciuccà	ሹካ	sciaquà		fourchette	sciâuca, scioka - furkêta, medra
formaggio	badu		ergò	እርጎ	regheò	እርጎህ	fromage	giobna, ghibna - zben, mahsûr
formica	gondàn		qqucciàcc	ፎር ማይካ	scisciò, tsatsè		fourmi	nemla, namle - nemlä, nemmêlä
fornaio	gabartu buddena		abbezà	ጋጋሪ	abbezà	አበዛ	boulanger	farrân, kabbâz - kauwês
forno	gomgì		furnò, etòn	ፉርኖ፣ 	etùn		four	forn, fûrn
forte, solido	giabè		gulmàssa	ጎልማሳ	deldùl	ደልዳላ	fort	sciadîd, qawî - gouy
fortino	humma		erd, ambà	እርድ፣ 	erdi	እርዲ	fortin	tâbia, tâbiye, hhissn - tâbye
fortuna	carra		ghenzèb	ገንዘብ	eddel		bonheur, fortune	bakht, bahht - krêr, farhh
forza	angò		bertà, hail	በረታ፣ ሀይል	hailì		force	cûa, scêdda, afîya, qûwa
fosso	buollò		gudguad	ጉድጓድ	gudguàd		fossé	hofra - khândeg
fracassare	ciabu		sebabberè	ሰባበረ	sebaberè	ሰባብሩ	fracasser	câssar - kâddar
fragile	dadabà		ses	ስስ፣ ተሰባሪ	tesebàrì	ተሰባሪ	fragile	sariaâ elcasr - iet kâssar
franco, moneta	gattì		frank	ፍራንክ	ferencà	ፍራንክ	franc	franc - frânk
fratello	obolà		uendem	ወንድም	hawù		frère	akh, akhû - krû, uhhei
frattura	ciabà		cussel	ስባሪ	qusly		fracture	tadrir, kasr
freccia	fugà		qest	ቀስት	manttegh		flèche, trait	sahm, nabl - nässêbä
freddo	dilel		berd, qurry	ብርድ	berd		froid	bard, sagha
fregare	riritu		welenwelè	ወለወለ	hamtekhuè		frotter	hak, aarâk - hhakk
fronte	adda		ghembar	ግምባር	ghembèr	ግንባር	front	giabha, qûra, ghebîn - zebhä
frumento	kamadì		sendiè	ስንዴ	sernay	ስርናይ	blé, froment	bênta, qamh, gâmeh
frusta	alangà		alengà, geràf	አልንጋ፣ ገራፊ	curbass, megrefi		fouet	curbâg, meqraâ - sôt
frutto	gumà		feriè	ፍራፍሬ	feriè	ፍሬ	fruit	atsmâr, fuâca - hälla
fucile	kawè		neft	ነፍጥ	nefttì	ናፍጣ	fusil	bondochîa, barûda - bidgä, mûkhala
fuggire	bakaciù		scescscè	ሸሸ፣ መሸሽ	ademè		fuir	hârab, far
fumaiolo	ara ciccià		qonqor	ጨስ ማውጫ	qonqor		cheminée	dakhun - madakana
fumare	haru		ttettà	ጠጣ	seteyè		fumer	dâkhan - keiyef
fumo	ara  		tis	ጢስ	ttis	ጢስ	fumée	dokhân, duhhân
fuoco	ibidda		essat	እሳት	hawì	ሃዊ	feu	nâr, hharîg, nar
gaio	gamaciù	ገመቹ	fendùqq	ፈንድቅ	weregià		joyeux	mascrûh, masrûr - furhhân
galletta	buddèna	ቡዴና	amebascià	አምባሻ	amebascià	አንባሻ	galette	baksumat, ttolmâ
galla	òrma		galla	ጋላ	gallà	ጋላ	gallas	râzel gallah
gallina	andako	ኢንዳቆ	dorò	ዶሮ	derhò	ድሮ	poule	dikentâia, farkha - dzêzä
gallo	endako		auradoro	አውራዶሮ	kukunay		coq	dîk, dic
gamba	gudèda		zangh	ዘንግ	eugry		jambe	sak, rigl - krâh
gatto	adalà		demmet	ድመት	dummà		chat	côtta, cutt - gattûs
gazzella	gadèmsa		midaqquà	ሚዳቋ	denanitò		gazelle	gazâl, gazâla - hzêl
generale	abbà dula		ras	ራስ	raesy	ራዐሲ	général	genrâl, ser âascar - zennenêr
gengiva	foni ilcan		ded	ድድ	gherestsàn		gencive	letsa, nîra
genitore	abbà  		uelag	ወላጅ	welady		père	ab, uâled, bû
gennaio	tàri		ter 	ጥር	tterrì	ጥር	janvier	janâier, yanayir
gentile	argià		dèggh	ደግ	sebeqqel		gentil	latîf, ânis, thaf, basûs - hhelu
germogliare	bikilu		beqqelè	በቀለ	beqhuelè	በቂሉ	germer	nabat, giadar - nouwae, stêled
ghiaccio	corrì		berd, baradò	ደረቅ፣ በረዶ	berèd	ብርድ	glace	talg - bûz, telz
ghiotto	albadèsa		sefsàf	ሰፍሳፋ	behangay		goulu, friand	nâhem, sciarhân - gurmân
giaciglio	algà		qqott, algà	ቆጥ፣ አልጋ	medeqesù	መንደቅ	grabat	sarir - frâs
giardino	orgoftu		atachelt	ያትክልት ቦታ	atakheltì	አታክልቲ	jardin	bostàn, genêna - sêniä
giavellotto	logà		yeqett-ttor	የክት ጦር	mantegh		javelot	sahm, nabl  
gigante	ambià		arbegnà	ትልቅ	neguè		géant	giabbâr - akbar
ginocchio	gilbà		gulbet	ጉልበት	berchì	በርኪ	genou	rôkba, rukba
giocare	tàpu		tecciawwetè	ተጫወት	tesawwetè	ተጫዋታይ	jouer	laâb, lîyb - lhâb
giogo	digari		qqembèr	ቀንበር	areùt		joug	nir, nâf - skekînä
gioielliere	cedattu martò		anteregnà	አንጥረኛ	anteregnà		joaillier	gauâirgi, zuwarzîj
giorno	bultì		qen	ቀን	mealtì	መሃልቲ	jour	iôm, nahâr, yôm
giovane	dargaghessa		guebez	ወጣት	metèt		jeune	sciabab, sâbb
giovedì	kamìsa		hamùs	ሐሙስ	hamùs	ሐሙስ	jeudi	elkhamîs, jôm el khamîs
giovenca	goromsà		ghidèr	ጊደር	arhy		génisse	êgla, bugra
giovinezza	ugiollùma		gubzennà	ጉብዝና	gubezennà	ጉብዝና	jeunesse	sabâb, sciabâba
giubba	lagò		qqemìs	ጃኬት	sederyà		veston	giacu, mintên
giudeo	iudai		iehudi	ይሁዳ	aiudawì		juif	iehûdi, ihûdi
giudicare	faradu		ferredè, assebè	ፈረደ	feredè	ፈሪዱ	juger	hâcam, hhkam
giudice	feredu		dagnà	ዳኛ	ferady	ፈራዳይ	juge 	hâchim, câdi, hhâkem
giudice appello	abba lubà		dagnà tallàg	ዳኛ	dainà		juge d'appel	câdi l-istinêf
giugno	sceniè		seniè	ሰኔ	senè	ስኒ	juin	junio, yûnya
giumenta	dalà		bazrà	ባዝራ	bazzà		jument	fâras, fras
giuramento	kaka		malà	ማላ	mahelà	ማሃላ	serment	hâlaf, iamîn - yemin
giurare	kaku		malè	ማለ	mehalè		prêter serment	halâf, hhilif, hhlaf
giustizia	abbà-labà		qqennèt	ህግ	fethì		justice	hak, âadâla, hadäl, aadl
giusto	dûga		tsadèqq	ጻዲቅ	degghì		juste	âadel, âdil - hhagg, haggâni
gloria	ulfina		mesganià	ምስጋና	mesganà	ምስጉን	gloire	saraf, megd, gelâl, fakhr
gomito	cichelè		chern	ክረን	kurnae		coude	cuâ, merfac
gonfiore	ità		ebbàc	እባጭ	hebett		enflure	waram, entefâkh, uâram, nafkha
góta	madì		guenc		guntcy		joue 	khad
governatore	soresa		ghegì	መሪ፣ መንግስት	ghezày		gouverneur	uali - hâchem, hhâkem
governo	motûma		menghèst	መንግስት	menghesti	መንግስቲ	gouvernement	hocûma, dula - hkûma
grande	guddò		tellèqq	ትልቅ	abyì	አብይ	grand	chebîr, âazzin, kbîr
grano	kamadì		sendiè	ስንዴ	sernay		blé	câmeh, hênta, qamhâ, qamhh
granturco	bokollò		yebaher-mascellà	የባህር ማሽላ	öfun		maïs	dura sâmi - gamahh
grasso	ciòma		seb 	ስብ	sebhy		gras	sâman, sciâhan, shhâm
gratùito	horì malè		endiau	ነጻ	bettray		gratuit	belâsc - blês, belês
grazie	aderà		eghziabher imesghen	እግዚአብሄር ይመስገን	eghziabher imesghen	እግዚአብሄር ይመስገን	merci	sciakr, sahhêt
grillo	krùpisa		fienttà	ፌንጣ	entcerar		grillon	sarsû, sursâr, ssorssor
grosso	ballà		ghezzùf	ግዙፍ	gäsif		gros	dakham, takhin - kbîr
grotta	bollà		goriè	ጎሬ	beàty		antre, grotte	magâra - muhhâra
guadagno	bowa		terf	ትርፍ	negdì		avantage, profit	mâksab, marksâb - tâzert
guado	malkà		melcà	መልካ	mesagherì		gué	mzêz
guancia	malla		gunc	ጉንጭ	guncì		joue	châdd, khad
guanciale legno	borati		makaddà	መከዳ፣ ተራስ	bercuma	ብርኩማ	oreiller bois	makhadda - mkâdda
guardare	ilàlu		temelecchetè	ተመልከት	reayè	ርኡ	regarder	nâzar, bassar - sbahh
guardiano	èga		baregnà	ጠባቂ፣ በረኛ	baregna		gardien	gafîr, harâssa, nazâra - hassês
guasto	yara		belescsciù	የተበላሸ	tseyiqhì		gâté	moâttal, matlûf - selfî
guida	abbà-karà		merì	መሪ	merhài	መሪ	guide	dalîl, morsced, chabir - dlîl
gustare	kàmu		qqemsò	ቀመሰ	tteemè		goûter	talf, zak-ttaâm - dâg
idea	iada		assab	አሳብ	hassab	ሃሲቡ	idée	fecr, bal - hâmm
idiota	tussò		senèf	ሰነፍ	dandè		idiot	gâbi, balîd - hafel, gâhhil
idolatra	kafùr		taot - amlachi	ጣኦት - አምላኪ	mettawy	መፀዋ	idolâtre	âabed eslanâm - methâsseb
idromele	dadì		teg	ጠጅ	mies	ሜል	hydromel	mâelaâssel - srâb
iena	orabesa		gib	ጁብ	zebey		hyène	dabê, marfâin - dabaâ
ieri	kalesa		telantenà	ትላንትና	temalì	ትማሊ	hier	embâreh, ems - êmes
iersera	edà		telant-matà	ትላነት ማታ	temali-mescià	ትማሊ-መሸት	hier soir	embareh misâ - êmes hasîjä
il	ccia (suffisso)		…u (suff.)	የ	la		le	el 
imbecille	gowà		ebt	እበት	ascscià		imbécile	ahbal, giabis, moghaffâl - hsîm
imbrogliare	sosobu		addeballeqqè	አደባለቀ	attalelè		brouiller	sciauâsc, khârbat, khân
imbrunire	diu		lielìt - homè	መጨለም	tselmete		s'assombrir	âattam - leyl el-lêl
impallidire	neciaciù		menemmenè	መነመነ	ccemlewè		pâlir	asfârr, sâham
imparare	bàru		tamarè	ተማሪ	temaerè	ተማሃራይ	apprendre	ithallim, teaâllem - tahâllem
imperatore	negus		negùs - neghèst	ንኑሰ - ነገስት	negùs	ንጉስ	empereur	soltâ, imbirâtur
impero	notûma guddò		menghèst	መንግስት	menghesti	መንግስቲ	empire	dôla, soltâna
impiccare	hadu		seqqelè	ሰቀለ	seqhelè	ሰቂሉ	pendre	sciânakh - anaq - sneg
imposta	bùsi		ghebr	መዝጊያ	ghebrìì	ግብሪ	impôt	forda, darîba - uergû, firde
in	bià		be…, eyè	በውስጥ	ab, be…		en	fi
incatenare	birêta bîdu		asserè	አሰረ	moqhehè		enchaîner	gianzar - kettef, ssafad
incendiare	gubù		aqqattelè	አቃጠለ	andedè	አንዲዱ	incendier	âhragh, hharaq
inchiostro	càlami kitabati		calam	ቀለም	calem	ቀለም	encre	hêber, madâd, hibr
indigestione	didda		qurttèt	ቁርጠት	qurttèt	ቀፅሪ	indigestion	tukhmâ , bâsciam
indovino	kallùn		tetenqualy	ጠንቋይ	zeccarì		devineur, devin	hazzâr, moâzzem
infermiere	nama fajuma		astammami	አስታማሚ	gasceleyna		infirmier	nazer el marid, momarrîd
infermo	dubukè		ementegnà	እመምተኛ	humum	ሃሙም	infirme	marîd, âaiân - mahlûl
inferno	ibidda		siol	ሲኦል	gheanemeesat	ገሃነብ	enfer	giahênnam - zhannem
influenza	golfà		nedad	ነዳድ	asò		influence, grippe	eltehâb
informare	odèsu		astawweqqè	አስታወቀ	negherè	ነጊሩ	informer	âkhbar, fahas - kabbar
ingannare	sosobu		assasatè	አሳሳተ	asehatè	ሐሰት	tromper	gâsc, khâdaâ, mâcar, keddeb
ingannatore	afùftu		assategna	ሃሰተኛ	asehatèyna	ሐሲዊኢ	trompeur	kaddâb, kayîm
innaffiare	obasu		arabrabi	አረብራቢ	arabrabè	አረብራቢ	arroser	casûr, âagiaz, rass, saqâ
innamorato	giàllatu		yaccè	የተዋደደ፣ መፋቀር	gherèd		amoureux	hâsiq, mahsûq, mohêb
innocente	walàltu		nettùh	ንፁህ	netsuh	ንፅህ	innocent	bari, brî
insaziabile	han inkùfu		iemmaitegheb	የማይተገበር	argaf		insatiable	batîn, la ienschaâ
insegna	alamà		sendecalamà	ሰንደቃላማ	melecchèt		enseigne	râja, âalâma
insegnare	barsìsu		astamari	አስተማሪ	meherè		enseigner	âallam, hallim - halläm
insieme	wagìn		bandennèt	ባንድነት	behedè	በሀደ	ensemble	gemyaâ, sauiatan - zmiäh
instancabile	kabei		iemmaidekm	እማይደክም	laileseon		infatigable	la ietaâb, caui, modallâa
intelligente	beka		awwaki	አዋቂ	lebàm	ለበም	intelligent	fâhem, âachel, zakî - be-hagel
interprete	wokalò		annegagarì	አነጋጋሪ	asterguamì	አስተርጓሚ	interprète	motârgem, torgimân
invecchiare	dullòmu		areghè	ማደግ	areghè	አሪጉ	vielillir	sciâkh - sar sebêni
inverno	gannà		cheremt	ክረምት	chremty	ክረምቲ	hiver	scêta, sitâ, esc-sceta
io	àna		eniè	እኔ	anè	አነ	je, moi	ana - êne, anê
isola	biò bhaerkessàt		dessièt	ደሴት	desièt	ደሴት	île	giazîra, gezîre
israelita	iudai		esra elawù	እስራኤላዊ	esrà elawy		israélite	iehudai - ihûdi
Italia	Etalia		yttalià	ጣሊያን	Ithalia		Italie	aitalia, itâlja - itâlja
italiano	nama Etalia		yttalièn	ጣሊያናዊ	ittalièn		italien	aitaliâni, toliâni - taljân
là	acì		bezih, karya	የ	abaù		là	henâk, honac - hêdi, hêdi
laborioso	kottù		serrategnà	ሰራተኛ	serhay	ሰሪ	laborieux	sciaghil, mugtahed
laccio	chiò		mettlefya	መጥለፊያ	serchet		lacet, piège	rabât, rasan, qyttan
lacrima	emimàn		leksuò	ለቅሶ	nebeat		larme	bôca, âabra, damâa, damâa - dymha
ladro	hattù		liebhà	ሌባ	seraqhì		voleur	les, harâmi, sarrâk, châneb
laggiù	eddò àci		chezià betac	ከዚያ በታች	abtì - tahetì	አብታህታይ	là-bas	henâk fil âsfal
l'altro ieri	dingaddà		telant-lielà		calè-temalì		avant-hier	dic-ha al yôm, aw embâreh
lampada	ipsa, bollì		fanùs, fanà	ፋኖስ፣ ፋና	fanus	ፈኖስ	lampe	candîl, masbâh - lâmba
lana	rifensa olà		yebègh - ttegùr 	የበግ ጠጉር	tsemry		laine	sûf
lancia	logà		tuor	ክፋች	coonat		lance	arba, romh, mezrêg
lanterna, lampione	tomborà		fanà, fanòs	ፋና፣ ፋኖስ	fanus	ፋኖስ	lanterne	fanûs, fanâr, fâmis, fnêr
lardo	ciòma		seb	ስብ	sebhy	ሰብሂ	lard	sciaham khanzir
largo	ballà		seffì	ሰፊ	gheffih		large	âarid, harîd, wâsah
latrina	sagara		ainemeder	አይነምድር	scengò		cabinet	canîf, mostarâh, latrya - labanda
latte	anen		uetet	እጥበት	tsebà	ሃጻቢ	lait	lâban, halîb - darr
lavandaio	nàma dìga		atabì	አጣቢ	hatsabì	ሃጺቡ	blanchisseur	gassâl, rhassal
lavare	diku		attebè	አጠበ	hatsbè		laver	gâsal, gâssel
lavorante	gabartu  		serrategnà	ሰራተኛ	serhay	ሰሪሂ	ouvrier	saneê, faêl, saggâl, khaddêm
lavorare	kullèsu		serrà	ሰራ	serhè	ሰራ	travailler	fstagal, asctâgal, khdem
lebbroso	tatau, kurcì		lemtam	ለምጣም	lemtsàm	ለምጣም	lépreux	âbras
legaccio	maskakò		esser	እሰር	serchet		lien	rabât
legare	hidu		asserè	አሰረ	asarè	አሰሪ	lier	râbatt, rbat
legge	abomi		heg	ህግ	hegghì	እጊ	loi	namûs, sônna, ganûn, sciaraâya
leggere	carrâu		anebbebè	አነበበ	anbebè	አንቢቡ	lire	qarâ, talâ, talih, grah
leggero	appati		qqellìl	ቀላል	qqellìl	ቀለሉ	léger	khafîf, khîf
legna	iccima		maghedò	ማገዶ	guna		bois	hhatâb - hhatäb
legname	mukà		encèt	እንጨት	entseyty		bois d'oeuvre	khasciab, khasab
lentezza	cabanà		data	ዝግ ማለት	chesta		lenteur	temmahol, tarakha, bitû
lenticchie	misseri, mesà		messeròc	ምስር	bersen		lentilles	hâds, bâcal
lenzuolo	kafàni		netelà	ነጠላ	meghenez		drap de lit	sciârsciaf, milâya, särsêf
leone	lincia, ambèssa		anbesà	አንበሳ	anbessa	አንበሳ	lion	âsad, sabuâ, sabeh, sêd
leonessa	daltù lincia		ambesayitù	ሴት አንበሳ	waerò	ዋሮ	lionne	labuâ, labwa
leopardo	kirensa		never	ነብር	nebry	በቢሩ	léopard	fahd, nemr monâccat
lepre	hillesa		tencel	ተኩላ	mantillè		lièvre	àrnab, arneb
lessare	affielu		qqeqqelè	ቀቀለ	qeqqelè	ቀሊሉ	faire bouillir	sâlak, hlä
lesso	fielù		checchel	ቅቅል	qeqqel 		bouilli, boeuf	maslûqa, maslûk
lesto	ogèsa, kallayò		qelttaffà	ቀልጣፋ	qelttùf	ቀልጥፍ	prompt	lâbek, seriaâ
letame	fandò		fègh	ፍግ	dekhuy		fumier	zabl, zibl, bôl
lettera	kitàba		debdabiè	ደብዳቤ	melekhtì		lettre	resâla, maktûb, giauâb, zuäb
letto	algà		algà	አልጋ	arat	አራት	lit	sarir, serîr - frâs
lezione	barsìsa		mestemarya	ማስተማሪያ	temherty	ትህምርቲ	leçon	durûs, dars, taâlim, dars
lì	aci		kazya	እነርሱ	abty		là	henàk, hädi tammä
libero	birmadù		nettà	ነጠላ	harrà		libre	hor, mokhâllas, hhurr
libro	maafa, kitàba		metsehàf	መፅሃፍ	metseàf	መፅሃፍ	livre	kitâb, chetâb, ktäb
licenza	dagò		feqqàd	ፈቃድ	selltàn		licence	ezn, egiâza, râkhsa, ibahâ
lieto	gamacisu		fendùqq	ፈነደቀ	heggùs		gai, joyeux	mabsût, farhân, furhhân
limone	tuto, lòmi		lomì	ሎሚ	lemin	ለሚ	limon	laimûn, lamûna, gâres
lingua	afàn		melas	ምላስ	melhas	ምላስ	langue	lesân, lisân - lsên
linguaggio	afan		cuancuà	ቋንቋ	qquanquà	ቋንቋ	langage	loga, lisâni
lino	talbà		telbà-agher	ተልባ	entattiè		lin	chettân, tîl - kettên
litigare	fallàmu		tettalà	ተጣላ	megguetè		disputer	daâ, khâsam - thârak
locusta	krùpisa		anbettä	አንበጣ	ànbeta	አንበጣ	sauterelle	sarsûr, gerâd, sursâr
lodare	galàta-galciù		asghennesè	ማመስገን	deresè		louer	mâdah, hâmad - sckar
lontano	fagò		ruk	ሩቅ	rehùqq	ሪህቁ	loin	bihîd, beîd, qurb - behîd
loro (maschile)	isan		yersàcciau	የነርሱ	nessun		à eux	hûm, hom - hûmma
loro (femm.) 	isàni		yersàcciau	የነርሱ	nessin		à elles	hummâ, honna
luccicare	cialinku		abbarrechè	አበራች	antsebareqhè		luire, briller	lamaâ, bârak
luce	ipsa 		berhan	ብርሃን	berhàn	ብርሃን	lumière	nûr, dau, dou
luglio	dèbbitu, sceniè		hamliè	ሃምሌ	amlè	ሃምሌ	juillet	julio, tammûz, yûlya
luna	gyà		ccereqqà	ጨረቃ	werhì		lune	câmar - gumar, gmar
lunedì	oggiadurà		segnò	ሰገኖ	senùy		lundi	yôm el-itnên, yôm l-etnîn
lungo	deèra		reggìm	ረጅም	newhyh		long	tauil, tuyl
luogo	gandà, eddè		sefrà, dudà	ሰፈራ፣ ዱዳ	sefrà, botà		localité	mahâl, macân, matrâhh
lupo	bandò		teculà	ተኩላ	tekhulà	ተኩላ	loup	zib, dîb
lusingare	sosobu		asmegnè	ማመስገን	aqebaterè		flatter	mâllak, dâllas
