English	Amharic		
አማርኛ የትልቅ ቋንቋን ደረጃን ለማያዝ ሲጥር ከነጻነት ወዲህ የምዕራባውያን ቋንቋና ባህል በተቸማሪ ተቋቋሚ ስሆነ የቋንቋው ትክክለኛ ዕድገት በአጠራጣሪ ሁኔታ ላይ ይገኛል። በቃል የነበረውም ቅርሱ ተረካቢ አጥቶ ሊጠፋ ሆነ። ይህ ዐይነት ስጋት የተፈጠረው አዲሱ ትውልድ ካለው የቋንቋ ቅርስ ጋር የሚተዋወቅበት መንገድ በማጣቱ ሲሆን ችግሩም የሚወገደው ቅርሱን ሰብስቦ በጽሑፍ መልክ በማቅረብ ብቻ ነው። 	The stuggle of Amharic to evolve its own identify and develop as a language was made more difficult than ever before by teh introducation of the compeitive European languages and culture. Tehsis problem can be overcome when the Ethiopian heritage is written and recorded for transmission to future generations. At a period when and Amharic is passing through such a transitional and critical stage, His Excellency has made available works outstanding in their literary beauty of the Ethioppian legacy. 		
አማርኛ በዚህ ባስጊ ሁኔታ ላይ ሲገኝ ከፍ ባለ ዘዴና ስልት ትጋትና ችሎታ የተሰናዱ ሥራዎች ያበረከቱ ክቡር ባላባራስ ማኅተመ ሥላሴ ናቸው። ለምሳሌ ያህል (የአማርኛ ቅኔ ከነመፍቻው) የአባቶች ቅርስ (ዝክረ ነነገር ) ተብለው የተጠሩ መጻሕፍቶቻቸው በሚያሳዩት የአማርኛ ቀዋሚ ውበትና በያዙት መሠረታዊ ቅርስ ምክንያት ተወዳዳሪ ስለሌላቸው በአማርኛ ማእምራን ዘንድ ከፍተኛውን ቦታ ይዘዋል። 	His excellency Balambaras Mahiteme Selassie has admirably and largely fulfilled these obligations to conserve and preserve the Ethiopian heritage through his numerous volumes. His writings, especially,, Yamarigna Kine", ,, Yabatoch kirse" and ,, Zikrae Neger" are examples of teh contributions that have assured His Excellency of a respected and high place among scholars in Amharic. 		
ክቡነታቸው የሰበሰቡአቸውን ቅኔዎች በመምረጥ በማፍታታት በዓይነቱና በአገባቡ በማስቀመጥ በቃል ባሩ የሚነገሩትን ተረቶና ሲወርድ ሲዋዱ የቆየውን የቤተ ክህነትና የቤተ መንግሥት ሥርዓት ለዛ ባለው ያማርኛ ድርስት በማቅረብ ቀዋሚ ሥራ በመሥራታቸው የቀዳማዊ ኃይለ ሥላሴ ሽልማት በአማርኛ ሥነ ጽሑፍ ዋጋው ፯ሺህ ብር ከወርቅ ሜዳሊያና ዲፕሎም ጋር ይሰጣቸዋል። 	His Excellency has selectfully and meaningfull compiled poems and sayings and recorded church and court procedures which heretofore have been orally transmittd from generation to generation. The Haile Selassie Award for Amharic Literature of a value of Eth, $7,000 , gold medal, and diploma will be given to His Excellency Balamdaras Mahteme Selassie Wolde Meskel for his outstanding and lasting contributions which ensure a firm cultural foudnationa nd setting for Amharic. 		
የባላምባራስ ማኅተመ ሥላሴ ወልደ መስቀል መልስ። 	Speech By Balambaras Mahteme Selassie Wolde MEskel, Amharic Literature Award Winner, on October 12th, 1965		
ግርማዊ የኢትዮጵያ ብርሃን፤ 	YOUR IMPERIAL MAJESTY 		
ዛሬ በዚህ በዓል  ክብረ ተካፋይ ሆኘ ከግርማዊነትዎ እጅ ሽልማት ለመቀበል በመቻሌ እጅግ ከፍ ያለ ክብር ይሰማኛል። 	I am greatly honoured to find myself amongst the prize winners of the Haile Selassie I prize Trust and to receive from your Majesty the Award for Literature. 		
የቀዳማዊ ኃይለ ሥላሴ ሽልማት ድርጅት ለመጀመሪያ ጊዜ ከተሸላሚዎች ጋር ሰሜን በሬድና በጋዜጣ ባስታወቀበት ሰዓት ያገኘሁት ደስታ መጠንም ወሰንም አልነበረውም፤ ይኸውም በአባቶች ሥራ ለዘለዓለም ሕያው ሆኖ እዲኖ የደከምኩባቸው መጽሐፎቼ ከኮሚቴው እንዲሁም  በኢዮጵያውያን በውጭ አገር የአማርኛ ማእምራን ዘንድ ከፍተኛውን ቦታ ይዘው መገኘታቸውን ለማወቅ ዕድል በማግኘጤ ነው። የቀዳማዊ ኃይለ ሥላሴ ሽልማት ድርጅት ቅርሶችና ነባርን ሁሉ ሰብስቦ በመልክ በመልክ አዘጋጅቶ ለትውልድ ማስተላለፍ ምን ያህል ጠቃ እንደሆነ ባወጣው መግለጫ ላይ አብራርቶ ገልፀዋል እኔም በኅሊናዬ ቀስቃሽነትና መሪነት ይኽንኑ መንገድ የተከተልኩ ሆኘ በመገኘቴ የተየ ደስታ ተሰምቶኛል ብል የተሳሳትኩት አይመስለኝም። 	I was delighted when m y name was announced with those of other winners; my pleasure was even greater when i learnt that the works upon which i had laboured to immortalise the culture and tradition of our country were selected  by teh Committee as my most important contributions towards Ethiopic learning. 		
ጠላት አገራችንን በወረራት ጊዜ ሕዝቡን ያለ ርኅራሄ ሲገድለውና ሲጨፈጭፈው፤  ሃብቱንና ንብረቱን ለእሳት ሲሣ ሲያደርገው ማየት እጅግ አሰቃቂ  ከመሆኑ በላይ ቅርሶቻችንና ባህሎቻችን አቀባይም ተቀባይም አጥተው ከንቱ ባክነው መቅረታቸውን ማሰብ የበለጠ አሳዛኝ ነበር። 	The Haile Selassie I prize Trust  has clearly expressed in its publication teh need for and teh value of compiling traditional works, appropriately documented and classifled, and of passing these on teh successive generations, it is indeed very gratifying to find that I have contributed towards this objective. 		
ከዚህም በተቀር አዲሱ ትውልድ፤ የውጭ አገርን ሥልጣኔንና ቋንቋ በሰፊው በሚከታልበት ጊዜ ከጥንታዊ አባቶች የተላለፈውና የሚነገረው ሁሉ በጽሑፍ ሆኖ ካልቆየ ካገሩ መሠረታዊ ባህል ተለያይቶ የሚርመሆኑ ማሰሰቡም መንፈስን ከብርቱ ጭንቀት ላይ የሚበልጥ ነበር። 	While it was extremely terrifying to witness the ruthless and barbarous massacre of people and teh destruction of property by teh enemy during the occupation of our country, it was equally distressing to think that tradition and culture might also vanish due to the breaking of the chain in the otherwish smooth continuity of our culture. Furthermore, it was alarming to anticipate that the new generation, readily adopting itself to foreign civilisation, would not k now of our tradition and culture if these were not handed down in writing, and would remain solely under the influence of foreign culture. 		
ስለዚህ ነው ያዋቂነትና የታሪክ ጸሐፊነት ችሎታ አለኝ በማለት አንዳች ትምክህት ሳላገባ ከሞት የተረፉትን ሽማግሌዎች በማነጋገር የተቆነጻጸሉትን ጽሑፎች በመሰብሰብና በማቀናር ፤ ባጭሩ ያባቶችን ቅርስ ለትውልድ ለማውረስ በተለይ ዝክረ ነገር፤ ያባቶች ቅርስ፤ አማርኛ ቅኔ፤ እንቅልፍ ለምኔ የተባሉን መጻሕፍ ለማዘጋጀት የበቃሁት። 	It was, threfore, because of this fear that I endeavoured to set aside my personal sentiments, as an author or historian, and sought our elders who had survived teh oppression in order to collect existing writings and subsequently to compile and coordinate all these fragments, often mutilated, so that at last some party of our culture could  be preserved for future generations. The results of my efforts include the books entitled,, Zikre Neger" (Recollections of Bygone Times).,, Yabatoch Kirs" (Heritage from our Forefathers), ,,Amarigna ine" (Amharic Poetry) and,, inkilf Lemine" (Why sleep),. giving a clear picture of our society. 		
 የቋንቋችንና የሥነ ጽሑፋችን ረቂቅነት ጠልቆ  ለተመለከተው የሚያስደንቅ ነው ፤ አንዳንድ ቃላት ሁለትም ሶስትም ስሜቶች የሚሰጡ ሃሳቦችን አጠቃልለው ይዘው ሲታዩ ምን ያህል የማስረዳት ኃይለ ቃል እንዳላቸው ለመገንዘብ ይቻላል።  ፩ ፤ አስተዳደራችን የተፈጥሮ ችሎታችንን ከመግለጡም በላይ ምን ዓናት አስተያየትና ዝንባሌ እንዳለን ያሳያል ፤  ፪ ፤ አብዛኛዎቹ ምሳሌዎቻችን በቅዱሳት መጻሕፍት ላይ ተመስርተዋል።  ፫ ፤ አማርኛ ቅኔዎቻችን እስከ ዛሬ የሌለውን ውበት ተጎናጽፈዋል ፤ ፬ ፤ የሕፃናት መጫወቻ ተረቶቻችን መልካም ግብረ ገብነትን የሚያስተምሩ ናቸው። 	Each of these four books is characteristic: the first shows us that "Our way of life not only reflects our natural abilities but also our tendencies and inclinations", the second that "Most of our proverbs are based on holy writings", the third that "Our poetry is extremely beautiful", and lastly, the fourth that, Our fables illustrate good principles and there is always a moral to be drawn from them".  		
የትምህርትና ሥነ ጥበብ ሚኒስቴር ይህንኑ በመረዳት ከዚህ በላይ የጠቀስኳቸውን መጽሐፎቼን በትምህርት ፕሮግራም ውስጥ እንዲገቡ በማድረጉና ከውጭ አገር የኢትዮጵያ ቋንቋ ማእምራን እንዲሁም ከአገራችን ከአንዳንድ መምሕራን የሚያበረታታ ቃል በማግኘቴ ከፍ ያለ የኅሊና ድጋፍ አግኝቼ እደነበረም መግለጥ ይገባኛል። 	I feel that I must mention here that I was given sound moral support by the decision of the Ministry of Education and Fine Arts to include the above books in its school curriculum, for which I am deeply grateful, and also for the encouragement and support that I received from friends, teachers and scholars abroad. 		
እነዚህና እነዚህን የመሳሰሉት ሁሉ ፤ እየተመረመሩ ሲጠራቀሙ የኢትዮጵያን ኅብረት ሰብዕ ዕውነተኛ መልክ እንደፎቶግራፍ አቅርበው ለማሳየት የሚችሉ ከፍ ያሉ ቅርሶች ይሆናሉ ፤ 	In general, our language is rich and beautiful if studied deeply. One word may have several meanings each conveying different ideas. 		
ተወዳጅ የሆነውን የራስን ሀብት መሠረት አድርጎ በተጨማሪ ከውጭ መፈለግ ዕውቀትን የተሟላ እንደሚያደርገው የታወቀ ነው። 	I believe that the foregoing books, if followed by many other similar works, will give a clear picture of Ethiopian culture. 		
አገራችን ኢትዮጵያ በቅርብ ሆኖ በተመለከቷት ቁጥር ስንት የሚያስደስቱና የሚያኮሩ ቅርሶች እንዳሏት ለመረዳት እንችላለን ፤ በጥናት በኩልም ግራን ቀኝ ቢሔዱ የማያደናቅፍ ሰፊ መስክ ስላለ በማናቸውም ረገድ ጥልቅ ምርምራ እያደረጉ ለኛም ሆነ ለዓለም ቅርሶቻችንና ባህሎቻችንን ማስተዋወቁ ጠቃሚ እንደሆነ ግልጽ ነው ፤ ስለዚህም ወጣቶቻችን ‹‹እኛም አለን እወቁልን›› የሚለውን ዓላማ በመከተል ተግቶ መሥራት ይኖርባቸዋል ፤ ይህንንም የምልበት የሐገራችን ቋንቋ እንዲስፋፋ ባህላችንና ልምዳችን እዲጠበቅ የሁሉም የኢትዮጵያዊ ምኞትና ፍላጎት መሆኑን ስለማውቅ ነው። 	It is well known that seeking culture from without can make knowledge complete only when it complements the knowledge of one's own. And regarding the knowledge of our own culture, Ethiopia offers a field as rich as it is vast on which to draw. Once our ancestral heritage is reconstructed, nothing would hinder us from making it known to the rest of the world. Thus, it would be expedient for the youth of our country to adopt the motto "We also have it and we are making it known to you". I say this because I know it is the desire of every Ethiopian to see our language and culture propagated. 		
ግርማዊ ንጉሠ ነገሥት ክቡር ብላቴን ጌታ ማኅተመ ሥላሴ ሲሸለሙ ከማህል ክቡር ጸሐፌ ትእዛዝ አክሊት ሀብት ወልድ፡	His imperial Majesty awarding, H.E, Blatten Guesta Mehteme Selassie W.Meskel.		
ግርማዊ የኢትዮጵያ ብርሃን ፤ 	YOUR MAJESTY.		
የአገራችን ሥልጣኔ እንዲሻሻልና እርምጃውም እዲፋጠን ካቋቋሟቸው አያሌ ሥራዎች ውስጥ አንዱ ይህ የቀዳማዊ ኃይለ ሥላሴ ሽልማት ድርጅት አገልጋዮች ከፍ ያለ የሞራል ድጋፍ እንዲያገኙ የሚያበረታታ ታላቅ መድኅን ሆኗል ፤ ስለዚህም ባለአደራውን ቦርድና በውስጡም ያሉትን ሊቃውንት ሰውን ማየትና ማነጋገር ሳያሻቸው በታላቅ ትዕግሥትና ችሎታ ሥራን ብቻ በማመዛዘን የሚያደርጉት ድካም ከባድ መሆን ለኅሊናዬ ስለሚሰማኝ በግርማዊነትዎ ፊት እንዳመሰግናቸው እንዲፈቀድልኝ ከፍ ባለ ትኅትና አለምናለሁ። 	Among the innumerable institutions established by Your Majesty for the development and prestige of Ethiopia, the Haile Selassie I prize Trust is that which offers moral encouragement and a greater cultural life. And, well knowing that the deliberations of the Trustees and their committee of experts are not only of great importance but also very difficult, -- in that the assessment of workers is carried out not through peronal contact with candidates considered, but purely by appraisal of various works through painstaking investigation and review -- I beg Your Majesty's permission to thank, in your presence, The Trustees and all those assisting them in their aduous task. 		
ዕድሜ ለግርማዊ ንጉሠ ነገሥት 	Long Live His Imperial Majesty 		
ዕድሜ ለልዑል አልጋ ወራሽ 	Long Live His Imperial Highness the Crown prince 		
ኢትዮጵያ በነጻነት ለዘለዓለም ትኑር።	Long Live Ethiopia in independence. 		
አቶ ገብረ ክርስቶስ ደስታ።	ATO GEBRE KRISTOS DESTA 		
አቶ ገብረ ክርስቶስ እንደ አውሮፓ አቆጣጠር በ፲፱፻፴፪ ዓ.ም. ሐረር ተወለዱ። ጀርመን አገር ሄደው ትምህርታቸውን በመከታተል የኪነ ጥበብና የአካዳሚክ ዲፕሎማ አገኙ። ከኪነ ጥበብ ሥራቸው በተጨማሪ በዳግማዊ ሚኒልክ ትምህርት ቤት በዚሁ መስመር በማስተማር ይገኛሉ። 	Born on the 15th October, 1932 in Harrar, Ato Gebre Kristos Desta was educated in Germany where he obtained diplomas in his academic endeavors and in his professional field of fine arts. In addition to his artistic achievements for which he is being honored, Ato Gebre Kristos writes poems and short stories and he is teaching at the Menelik II Fine Arts School. 		
አቶ ገብረ ክርስቶስ ከራሳቸው የማመንጨትና ፍቺ የመስጠት ችሎታ ያላቸው አርቲስትና በኢትዮጵያ የናን ፊገሬቲቭ አርትን ሥራ የመጀመር ቀደምትነትን ይዘዋል። የዘመናዊ ዝንባሌ ለሚከተሉት ኢትዮጵያውያን ሠዓሊዎች እንደራሴ ለመሆን ከመቻላቸውም በቅርብ ጊዜ በጠቅላላው በኪነ ጥበብ ዓለም ለተደረገው ሥራዎቻቸው ይረዳሉ ተብለው ይገመታሉ። 	A gifted artist with outstanding creative and interpretative abilities, he is largely responsible for introducing non-figurative art in this country. He successfully represents the modern trend among Ethiopian painters and his works constitute a brilliant contribution to the recent development of the world of art at large. 		
ሁልጊዜ ዕውነትንና ሕይወትን መነሻ በማድረግ የሠሯቸው ሥዕሎች ልዩ የሆነ ሐሳብን የመግለጽ ችሎታ ዲስፕልንና እንደዚሁም ሕይወት ያለው ቴክኒክ ያላቸው አርቲት መሆናቸውን ያረጋግጣሉ። 	His paintings, which always maintain relationship with reality, manifest a distinct technique full of vitality, discipline, and expressionism. 		
ወጣቱ አቶ ገብረክርስቶስ ለኢትዮጵያ ኪነ ጥበብ ዕድገትና ጉልምስና ስለረዱ ቀዋሚ ሥራ ሠርተዋል። እስካሁን የፈጸሙአቸው ሥዕሎችም ወደ ፊት በይበልጥ ኪነ ጥበብን የሚያበለጽጉ ልዩ ልዩ ሥራዎች የሚያበረክቱ መሆናቸውንና ለወደፊት ኢትዮጵያውያን አርቲስቶችም መልካም ምሳሌ ስለሚሆኑ የቀዳማዊ ኃይለ ሥላሴ ሽልማት በኪነ ጥበብ ፯ ሺህ ብር የወርቅ ኒሻንና ዲፕሎም ይሰጣቸዋል። 	The growth and evaluation of Ethiopian art have been advanced through his contributions and Ato Gebre Kristos’ past achievements convincingly ascertain that this brilliant artist will further influence the world of art and the coming generation of Ethiopian artists. Ato Gebre Kristos will receive the 1965 Haile Selassie Award in Fine Arts of a value of Eth. $7,000 gold medal, and a diploma.		
ግ.ን.ነ. ለአቶ ገብረክርስቶስ ደስታ የ፲፱፻፶፰ ዓ.ም የኪነ ጥበብ ሽልማት ሲሰጡ። 	H.I.M. awarding Ato Gebre Kristos Desta. Fine Arts Prize, 1965. 		
የአቶ ገብረ ክርስቶስ ንግግር	ACCEPTANCE SPEECH BY ATO GEBRE KRISTOS DESTA 		
ግርማዊ ጃንሆይ 	YOUR IMPERIAL MAJESTY 		
በግርማዊነትዎ አሳቢነትና አርቆ አስተዋይነት የተቋቋመው ይህ የሽልማት ድርጅት ብዙ ሰው እያደፋፈረና እያነቃቃ አዳዲስ የሥልጣኔ እርምጃና መሻሻል ለአገራችን እንደሚያተርፍ ጥርጥር የለውም። 	The prize Trust which has been established through your Majesty's goodwill and foresight will, undoubtedly, encourage many people and open new avenues to wards different kinds of knowledge. 		
የሰው ልጅ ድካምና ልፋት አንዱም ሃሳቡንና ዓላመውን ከግብ ማድረስ ሲሆን አንዱም ደግሞ የድካሙን ፍሬና ዋጋውን ማግኘት ነው። ሥልጣኔን ራሱ ታሪክ እንደመሆኑ መጠን ውጤቱንና መጨረሻውን ለማየት የአንድ ወይም የሁለት ሰው ዕድሜ በቂ ላይሆን ይችላል። ግን አዳዲስ የሥልጣኔ በር መክፈት የዛሬውን ትውልድ ማነቃቃት ሲሆን የመጪውን ትውልድ እርምጃ በቅድሚያ ማሰናዳት ማለት ነው። አዳዲስ የሥልጣኔ መንገድ በሚከፈትበት ጊዜ ሁሉ ምናልባት ብዙ ሰዎች ሊገባቸው የማይችል ሃሳብ ስለሚፈጠር አንዳንድ ተቃራኒ ድምጽ የሚሰማበት ጊዜ አለ። አሁን ያልተጀመረ አዲስ  የሥልጣኔ እርምጃ የዛሬ አስር ዓመትም ቢጀመር ያው አዲስና አስቸጋሪ መስሎ መታየቱ አይቀርም። 	The main aim of human-being is to make his dreams come true on one hand, and to reap the fruits of his toil on the other. Since civilization itself is history it is difficult to see its result within the span of time of generation or two. But to open new roads of civilization is to encourage the present generation and to pave the way in advance for the coming one. Whenever there is a new kind of civilization, it is possible that the voice of criticism is likely to be heard loud. Any new kind of civilization, if not started at the present time, will become strong and difficult to grasp even when it comes after ten years. 		
በሥነ ጥበብም እንደዚሁ ያለ ሁኔታ አልፎ አልፎ ያጋጥማል። ብዙ የጥንት ሠዓሊዎች በዘመናቸው ጥረታቸው ሳይታወቅ እየተቸገሩና እየተረሱ እነሱ ካለፉ በኋላ ሥራቸው ጠቃሚና ዋና የሥነ ጥበብ መክፈቻ ቁልፍ ምዕራፍ ሆኖ በሚቀጥለው ወይም በሶስተኛ ትውልድ ሲደነቅና ሲመሰገን ይገኛል። ሠዓሊ በዘመኑ የሚኘውን ሁኔታ ባካባቢው ያለውን ነገር የሚገልጽ ቢሆንም ከሚገኝበት ዘመን አልፎ ተርፎ ተሻግሮ ብዙ ሰው ያልደረሰበትን ሃሳብ በቅድሚያ የሚያመለክት ነቢይ መሆኑን የአንዳንድ ታላላቅ ሠዓሊዎች ታሪክ ደጋግሞ መስክሯል። የጥንት ሥዕሎች ጥቂቶቹ የዛሬዎቹም ቢሆኑ የሰውን ውበት የሰውን የሥልጣኔ እርምጃ በጠቅላላው የሰውን ፍጥረትና እድገት የሚያመለክቱ ናቸው። በዚህም ዓለም ላይ እስካለ ድረስ የሁሉ ነገር መለኪያ ሰው ራሱ ቢሆንም ዘመናዊ ሰው ራሱን ያንዳንድ ጥበብ መክፈቻ ቁልፍ አድርጎ ይገምታል እንጂ ዕውቀት ነኝ ፤ ጥበብ ነኝ ፤ ፍጹም ነኝ ፤ ብሎ አይመካም።	These difficulties have been also felt in the field of Fine Arts -- many artists of the past have been neglected and forgotten during their lifetime, but their works have been praised by the second or the third generation. Although the painter reflects the image of his time and expresses things surrounding him, history has represent ones express the beauty of man and his growth and civilization in general. Although as long as he exists on this planet man is the measure of all things, modern man considers himself as the key to a certain kind of knowledge. But he doesn't boast of his perfection and wisdom. 		
ዘመናዊም ሥዕል ይህን ዓላማ የተከተለ  ነው። ሠዓሊው ዓለምን እንዴት እንደሚመለከት ፤ ፍጥረትን እንዴት መተርጎም እንደሚቻል ፤ በዓለም ውስጥ ሲኖር ፤ ምን ጥበብ ምን ዓይነት ዘዴ ፤ ምን አዲስ ነገር ማስገኘት እንደሚቻል ይጥራል። ዛሬ ሥዕል እንደ ጥንቱ በጠባብ መንገድ የተወሰነ ሳይሆን በብዙ በኩል እየተጣደፈ የሚሔድ ዕውቀት ሆኗል። ይህ የመመራመር ውጤት ነው ፤ ዘመናዊ ሥዕልን የተዘበራረቀ የሚያስመስለው በኑሮም ሆነ ወይም በመፍጠር ደረጃ የተዘበራረቀ የሚመስል ነገር ሁሉ እንደ መዘባረቁ መጠን ሥራውንና ውጤቱን የሚያብራራና የሚገልጽ የራሱ ሕግ ሲኖረው ይህ ዘመናዊም (አብስትራክት) ሥዕል የራሱ ቋንቋና የራሱ ሕግ ሲኖረው ፤ ይህ ቋንቋ እስቲለመድና እስቲጠና ድረስ ለብዙ ሰዎች አዳጋች ሆኖ ይገኛል። በሥዕል ትልቁ ዓላማ ትልቁ ደስታ በመፍጠርና በማስገኘት የሚደረስበት ውጤት ነው ዘመናዊ ሥዕል እንደ ጥንቱ በፎቶግራፍ ሁኔታ ሃሳብ እየተገለጸ ታሪክ ብቻ የሚደረድር ሆኖ አይወሰንም። በዘመናዊ እቅድ ሥዕሉ ራሱ ሃሳብ ነው። የአንድ ነገር ሁኔታ ፤ የአንድ ነገር ትርጉምና ስሜት ነው። ዛሬ ሰው ራሱን በመርሳት ወደ ከዋክብት እያንጋጠጠና ባዶ ቦታ ውስጥ እየሔደ ጥበብ በሚሰበስብበት ሃያኛው ክፍለ ዘመን ፤ በሥዕልም ራሱን ብቻ መመልከት ትቶ ዓለም ከብዙ ርቀት ከብዙ በኩል ሲታይ  ምን ዓይነት ስሜት እንደሚሰጥ ዓለማዊ ዘላለማዊ የሆነውን ነገር በመተርጎም በዓይን የሚታይ የቀለም የመስመርና የቅርጽ ሙዚቃ ለመፍጠር ይጥራል። 	Modern art also follows the same thought -- the artist tries to see the world subjectively; he tries to express nature around him. On the whole, he endeavors to create new ways and means to explain the universe in general. Nowadays, painting is not limited, and is not led into a narrow channel -- instead, it has become a knowledge which moves fast in many different directions. It is this knowledge of research that makes modern art somewhat confusing. In life as in the creative process confusion has its own laws and symmetry which definer its mere existence -- likewise, abstract or modern art has its own rules and its own language. Until this language is mastered many people might find abstract art confusing. In art, the greatest happiness is work and the result of creation. Modern art, as the classical paintings, doesn't tell stories and show realistic things like the camera does. In the language of modern art the painting itself is an idea; it is the feeling, the thought, and the expression of something. In this twentieth century, when man delves into space and tries to find the meaning of the universe, in painting too, instead of concentrating on himself alone, man sees the world from many different aspects and tries to express the eternal and the universal by creating music in color, line and form. 		
ግርማዊ ሆይ 	YOUR MAJESTY, 		
የአንድ አገር ምሰሶና ሕይወት ናቸው ተብለው እንደሚገመቱት እንደ እርሻ እንዲስትሪና ንግድ ሁሉ ዘመናዊም ሥዕል ላገራችን ሥልጣኔ አስፈላጊ መሆኑን ባጭር ጊዜ ውስጥ ዛሬ ይህ የሽልማት ድርጅት በማወቁ በጣም የሚያስመሰግን ነው። ሽልማቱ ለኔ ብቻ ሳይሆን በእንደዚህ ያለው መንገድ ወደ ፊት ብዙ ዓይነት ሙከራ ለሚያደርጉ ሁሉ ነው ብዬ አምናለሁ። ይህ ሽልማት ለእኔ አስከዛሬ ድረስ የመጀመሪያው ትልቁ ነው። አከብረዋለሁ። የወደፊት ሥራዬ በሰፊው ለአገራችን የሚጠቅምበትን ዘዴ ለግርማዊነትዎ በጽሑፍ ዘርዝሬ አቅርቤአለሁ። ግርማዊነትዎም ይህ ሃሳቤ ከግብ እዲደርስ እንደሚረዳኝና እንደሚደግፈኝ እተማመናለሁ። 	Like agriculture, industry and economy, which are the backbones of a country, the Fine Arts are gaining importance in Ethiopia -- and the recognition of Modern Art today by this Prize Trust is highly plausible. This prize is for me, until now, the greatest and I honor it. I have submitted to your Majesty my future plan which will be very useful for the development of art in our country -- and I am sure your Majesty will help me. 		
የዚህ የሽልማት ድርጅት መስራችና የሃሳቡም ደጋፊ የሆኑትን ግርማዊን ከልብ እያመሰገንኩ ለተጠባባቂዎቹና ለዳኞቹም እንዲሁ ምስጋናየን እያቀረብኩ የወደፊት ሥራቸው እንዲቃናላቸው እመኛለሁ።	I thank from the depth of my heart your Imperial Majesty who is the Founder and the Patron of this foundation. I also thank the Trustees and the judges and wish them success in their future endeavor. 		
ሚስተር ቲ ካሜሪኖ በዱምኮ ዳም ኩባንያ ስም 	DUMCO DUM COMPANY LTD. (MANIFATTURA SACCHI ASMARA) 		Long live your Imperial Majesty 
እንደ አውሮፓ አቆጣጠር በ፲፱፻፶ ዓ.ም ዱምኮ አክሲዮን ኩባንያ በኋላም በ፲፱፻፰ ዓ.ም ቅርንጫፍ ማፋቱራ ሳኪ አሥመራ ተቋቋመ። የዱምኮ ዳም ኩባንያ በተለይም ከዘምባባ ቃጫ የማውጣትን ሥራ ሲያከናውን ቅርንጫፉ ማኑቴራ ሳኪ ከቃጫው ጆንያ ገመድና ጨርቃ ጨርቅ ይሠራል። 	DUMCO Dum company Ltd. Share Company and its subsidiary, Manifattura Sacchi Asmara, were established in 1950 and in 1960 respectively. DUMCO Dum Company is especially engaged in the extraction of textile fibers from the Doum Palm leaves while Manifattura Sacchi Asmara specializes in the conversion of the Doum fibers into sacks, twines, and cloth. 		Long live members of the Imperial Family 
ባለፉት ፶ ዓመታት ብዙ የቴክኒክ ሊቃውንት ከዘምባባ ቃጫ ለመስራት ሲጥሩም የተጨበጠ ውጤት ሳያገኙ ቀርተዋል። አሥር ዓመታት ሙሉ በጥንካሬና ጥቅምን መሥዋዕት አድርጎ በመልፋት ከዘምባባ ቃጫ የማውጣትን አዲስ ዘዴ ለመፍጠርና ተፈላጊውን መኪና ለመስራት ዱምኮ ዳም ኩባንያ ችሏል። 	Technical experts have over half a century attempted to extract fiber from Doum Palm leaves but failed to attain tangible results. DUMCO Dum Co. Ltd. succeed admirably in both perfecting the extraction process as well as in conceiving,  designing, and building a prototype of the machine for processing, it developed this technique after ten years of sacrifice, hard work, and perseverance. 		Long live Ethiopia.
በአዲሱ ዘዴ የተሠራውም ቃጫ ከዚህ በፊ ዓለም ይበልጡን ይጠቀምበት ለነበረው ለጁት ተክል ጥሩ ምትክ ሆኖ ተገኝቶአል። በዋጋውም ይልቁንም በቅርብ ጊዜ በተደረገው የመኪናዎች መሻሻል ከጁት የሚመጣጠንና የሚወዳደር ሆኖ ተገኝቶአል። 	The fiber obtained through this process has proved to be fine substitute four jute on which the world's sacking industry primarily depended. With the latest improvements in techniques and machinery, the Doum Palm fiber price compares favorably ably with the price of jute. 		
ይህ ፮፻፶ ሠራተኞች የሚያስተዳድረው ኩባንያ ያስገኘው ውጤት የሀገርን የኢንዱስትሪ ሥራ ከማስፋፋትና ራስን ከማስቻልም አልፎ ተገኝቶአል። እንደ ሱዳን ያሉ ሀገሮች ይህ ኩባንያ የሚሠራቸውን ጆንያዎች በመግዛት ይጠቀማሉ። ልዩ ልዩ ሀገሮችም ተመሳሳይ ሥራዎችን ለማቋቋም አቅደዋል። 	The achievement of the Company, which presently employees 650 people, has proved to be more than a local industrial success and one of self-sufficiency. Other countries such as the Sudan and buying sacks from Ethiopia and many others are considering the establishment of similar undertakings. 		
ማኑፋቱራ ሳኪ አሥመራና ዱምኮ ኩባንያ የፈጸመው ተግባር ለሀገሪቱ ኢኮኖሚ ጥቅም በማምጣቱና ቀደምትነት የሌለው እንደዚሁም በኢንተርናሽናል ደረጃ የምሳሌነት ዋጋ ያለው ስለ ሆነ የቀዳማዊ ኃይለ ሥላሴ ሽልማት በኢንዱስትሪ ዋጋ ፯ሺ ብር ከወርቅ ኒሻንና ዲፕሎም ጋር ይሰጠዋል። 	Manifattura Sacchi Dum Company Ltd. Asmara will be recognized for the uniqueness in its achievement, its contribution to the national economy, and exemplary importance at the international level. Manifattura Sacchi Dum Company will receive the 1965 Haile Selassie Award for industry of a value of Eth. $ 7,000, gold medal, and a diploma. 		
በዱምኮ ዳም ኩባንያ ስም የሚተር ካሜሪኖ ንግግር ። 	ACCEPTANCE SPEECH BY MR. TULLIO CAMERINO 		
